restaurante,place_id,username,rating,comentario,date
Por um Punhado de Dólares,ChIJ08g_akxYzpQR0RO2V9l10wA,Vanessa Scott,5,"Very chill and hipster, cool place! Came here on a Monday morning. Great vibes here. Got the latte, banana bread and a cookie and all were super good. Top! Kind and fast service.
Really loved the coffee.",a month ago
Por um Punhado de Dólares,ChIJ08g_akxYzpQR0RO2V9l10wA,Pedro Henrique Fernandes,5,"Superb coffee shop in São Paulo, easily one of the best. Their house roasts are few, but expertly selected and cover almost all the possible requirements for a cup of coffee. Their espresso is well taken, resulting in a cup that is far more complex than a standard bitter cup.
Their sandwiches, cakes and pastries are all delightful, nothing to add.
The house is clearly a safe haven for the progressive and leftwing, and all the patrons and staff are so polite and nice to each other.
The only point I""d suggest is to lower the volume of the music a bit, it was somewhat hard to maintain a conversation.",3 months ago
Por um Punhado de Dólares,ChIJ08g_akxYzpQR0RO2V9l10wA,Caio Cruz,5,"Really cool atmosphere plus good cakes and coffee. My guess is most people come to drink the coffees with brandy and other spirits. It""s hard to park nearby and during the day it""s recommended to Uber or even a walk is fine.",9 months ago
Por um Punhado de Dólares,ChIJ08g_akxYzpQR0RO2V9l10wA,Sebastian HH,5,"Super nice cafe !
Delicious coffee and sandwiches",a month ago
Por um Punhado de Dólares,ChIJ08g_akxYzpQR0RO2V9l10wA,Rachel B,5,"Super enjoyed this place! We came in passing while waiting for our dinner reservation, and it was absolutely perfect.

Very well made cappuccino, and so many other nice drink options! Alcohol or non-alcohol. My friend also got a calming tea - made with chamomile, passion fruit, honey and orange. Also delicious!

Other great thing about this place is the vibes. The servers were very kind, open and welcoming. Great environment to relax and feel welcome with your drink ☺️

Hope to be able to return here someday!

#ppd #porumpunhadodolares #cafe #coffee #brazil #goodvibes",4 years ago
Por um Punhado de Dólares,ChIJ08g_akxYzpQR0RO2V9l10wA,Phyllis Kong,5,I had the best coffee here in São Paulo. Great and claim ambience in the cafe with simple modern industrial style. They also sell local roasted coffee beans. Wifi available.,3 years ago
Por um Punhado de Dólares,ChIJ08g_akxYzpQR0RO2V9l10wA,Thomas Harris,5,Great cappuccino. Seems like an amazing hang out spot. And maybe a good place to work remotely during the day as they have wifi,a month ago
Por um Punhado de Dólares,ChIJ08g_akxYzpQR0RO2V9l10wA,Pascal Mcduff,5,Excellent independent coffee shop. Great vibe inside and always busy up to late in the evening. Their coco pao de quejo is incredible.,11 months ago
Café Girondino,ChIJK73OtlVYzpQRmxTwBZPKlaY,Yuko KK,4,"I would say 4.3 :)
Perfect location, clean, nice decorations, well organized menus, good service, nice staffs, no long waiting time, fair price setting (maybe a bit more expensive than other places in the neighborhood/centro but no complaint)
My carrot cake with chocolate was amazing! A slice was big and the cake itself was surprisingly very moist and yummy! Not super sweet but just tasty !!! I could eat five more slices🤣
My cappuccino came with a cute little dog art on it😘 very lovely to see it ! Just one thing to say..... On the button of the cup, there was still powder left, i needed to blend a bit. Nothing more.
I def come back ! Next time i will try their red velvet cookies, which looked very good 😊",8 months ago
Café Girondino,ChIJK73OtlVYzpQRmxTwBZPKlaY,M,5,"Delicious lunch at this thriving restaurant next to the old town metro. Excellent service and atmosphere.
Enjoyed the bread basket including the traditional cheese bread. Trout with risotto was very well cooked and flavoured.",3 months ago
Café Girondino,ChIJK73OtlVYzpQRmxTwBZPKlaY,Steven Chaney,1,"Earsplitting loud and unpleasant rock music being played in the street a few meters from an entrance to the cafeteria, and they won’t close the door. This was not permitted at Guantanamo under George W Bush.",a month ago
Café Girondino,ChIJK73OtlVYzpQRmxTwBZPKlaY,David Wainwright,5,"Lovely place. It""s a cafe, bar and restaurant in the old part of the city. Seeped in class and tradition. Well worth a visit. The steak was amazing. The caipirinhas were to die for!",3 years ago
Café Girondino,ChIJK73OtlVYzpQRmxTwBZPKlaY,Stephanie Martínez,5,Such a beautiful and charming cafe! It was a great experience with great coffee.,3 months ago
Café Girondino,ChIJK73OtlVYzpQRmxTwBZPKlaY,Alexander Leo-Hansen,5,Tasteful cakes and good service. The interior is really special.,3 years ago
Café Girondino,ChIJK73OtlVYzpQRmxTwBZPKlaY,Alexandre Lopes,5,"It""s a nice vintage place to have dessert or coffee. If you want to stay for a while, they do serve breakfast and lunch.",5 years ago
Café Girondino,ChIJK73OtlVYzpQRmxTwBZPKlaY,Marcio Duarte,4,"Nice place in São Paulo downtown to fast breakfast, beers and food. Very old and traditional place.",3 years ago
KOF - King of The Fork,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,Florian Koenigsberger,5,"Tucked away café spot with great sandwich and coffee options. The back patio is a nice pocket of greenery and they also stock a number of cool cycling trinkets. Great for weekend brunch, very friendly staff. The chocolate cookie was absurdly good, as was the cold brew with tonic.",6 years ago
KOF - King of The Fork,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,Julie Tolsgaard,5,Being a huge coffee fanatic I have to say that KOF makes an amazing latte! We tried the cinnamon bun as well which was delicious 😍,a month ago
KOF - King of The Fork,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,Rachel B,5,"Excellent coffee shop - great coffee and good vibes! The most important things to make up the coffee shop you want to keep returning to.

The atmosphere is really great. They have indoor seating as well as outdoor (in front and out back). Nicely designed and decorated very cute. Friendly service.

They also serve other drinks (including tea, mate, etc) was well as sandwiches, cookies, etc.

#café #coffee #brazil #mocaccino #chá #kingofthefork #goodatmosphere #chillvibes",4 years ago
KOF - King of The Fork,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,David Hämmerli,2,"Staff lacks of training, let""s begin with eye contact and the two words: ""thank you"". 👁️‍🗨️✌️
☕ Is good - banana bread lacks of 🍌.
Be aware that you""r not allowed to work there with a laptop, basically they want that you drink your coffee and be gone asap. I got that from an economic perspective, but it""s just not sympathetic. Even when you enter with an iPad, before they even greet you - they let you know, that""s not allowed to use it (staff training...). We won""t come back. Tipp for you guys: add a sign 🚫💻 and get rid of the desks.",a year ago
KOF - King of The Fork,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,Bo-sung Kim,5,"My favourite cafe in Sao Paulo. Cozy atmosphere, great coffee with decent price and lovely home-made cakes!!!",5 years ago
KOF - King of The Fork,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,Jorge Daniel Sampayo Vargas,5,"Easily the best Flat White at Sao Paulo so far.

Actually is the only place I have seen that includes it in the menu and uses the Gibraltar glasses.

If you want a taste of Australia / New Zealand originals, come to this place!",3 years ago
KOF - King of The Fork,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,Michele Araujo,1,"Although the coffee taste was good I was not very happy with my experience. My partner and I had to move seats, then we were told no laptops which was fine but no signs or previous warning was made even though we had already ordered coffees and snacks and we were ready to order more. If the intention is to push people working in their laptops away you should have a poster or some form of warning, especially as this seems to be a reoccurring fact.",8 months ago
KOF - King of The Fork,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,Paul Boland,4,Food is tasty but portions are very small. Nice place to chill,3 months ago
Cupping Café,ChIJe45oNJZXzpQRUXYN4bE42h8,Arcelia Gallardo,5,Plenty of space for 2 kids with stroller. Outside and indoor seating. One of the best quality coffees in Brazil. Great for coffee nerds.,3 years ago
Cupping Café,ChIJe45oNJZXzpQRUXYN4bE42h8,Taylor Boosmann,5,"This cafe is especially great if you’re looking for a place to sit for a while and get some work done. They have WiFi and lots of work stations with outlets. The cold brew c/ leite was great! Next time I’ll try some of the baked goods, they looked amazing. They also have homemade nut milk for those who prefer leite vegetal to dairy.",3 years ago
Cupping Café,ChIJe45oNJZXzpQRUXYN4bE42h8,Dan Dhillon,3,Whoever said this place has wifi has very outdated info.,8 months ago
Cupping Café,ChIJe45oNJZXzpQRUXYN4bE42h8,Ximena Duenas,5,Great coffee (from a Colombian point of view) and the banana bread is fantastic.,3 years ago
Cupping Café,ChIJe45oNJZXzpQRUXYN4bE42h8,Janneke Holzner,5,Very strong lovely coffee and excellent banana bread. Accept card!,4 years ago
Cupping Café,ChIJe45oNJZXzpQRUXYN4bE42h8,Frank Taylor,5,"Cupping Lab had the mocha coffee that I wanted, and I think that it is open until 9:00 PM.",3 years ago
Cupping Café,ChIJe45oNJZXzpQRUXYN4bE42h8,Diego Mendonca,5,Great service! Fair prices. My #1 go to coffee place.,3 years ago
Cupping Café,ChIJe45oNJZXzpQRUXYN4bE42h8,Paula Carvalho,3,Bland.,3 years ago
Urbe Cafe Bar,ChIJOwjAKTNYzpQRwR6a0vqnO40,Sérgio Dantas,4,"Nice environment. Friendly staff. The menu has some interesting options like Jackfruit snacks and different combinations of tea and sandwiches with many vegan choices. The place is a bit noisy but still, very pleasant. Recommended!",3 months ago
Urbe Cafe Bar,ChIJOwjAKTNYzpQRwR6a0vqnO40,David S,5,"The food, the coffee are good.  The problem is the service when they are busy. I ordered a second coffee because I finished the first cup before the food arrived. But the second cup didn’t arrive until long after I finished my food.  They came to double check with me that my second cup is not the third cup.",3 months ago
Urbe Cafe Bar,ChIJOwjAKTNYzpQRwR6a0vqnO40,Winicius Feitosa,5,"Amazing Coffee Place - Temperature came perfect, very well served, snacks and cakes insanely good, distinct and casual ambience! Fast and well located! Totally recommended!",2 years ago
Urbe Cafe Bar,ChIJOwjAKTNYzpQRwR6a0vqnO40,Ben Hurley Scarbro,5,"Great spot. Good food, nice service, and good location if you""re wandering north of Paraíso.  We paired breakfast/brunch here with a day at the Museum of Art and Trianon Park nearby.  BUt you could just simply enjoy a morning/afternoon here. Highly Recommend.",2 years ago
Urbe Cafe Bar,ChIJOwjAKTNYzpQRwR6a0vqnO40,Laura Kurtzberg,5,"My favorite hipster coffee place in São Paulo! The coffee and tea options are stellar but what really brings it home is the great food! I recommend the mandiocinha soup because it""s awesome.",5 years ago
Urbe Cafe Bar,ChIJOwjAKTNYzpQRwR6a0vqnO40,FX Smithers,3,"The food and beverages are ok to good, but I don’t think the prices are competitive compared to similar offerings nearby.",3 weeks ago
Urbe Cafe Bar,ChIJOwjAKTNYzpQRwR6a0vqnO40,Rachel B,5,"Really beautiful coffee shop with quality coffee. I really enjoyed my Irish coffee here, as well as the cappuccino my girlfriend got. Both were delicious.

Love the atmosphere in here. There’s a loft area upstairs with seating, where you can overlook the entirety of the shop. The place is very urban and full of plants, giving a beautiful, green and natural vibe to it all.

Prices were reasonable to me, at least as far as drinks go.

Would definitely return here to enjoy again!

#urbe #urbecafebar #café #coffee #sãopaulo #sampa",4 years ago
Urbe Cafe Bar,ChIJOwjAKTNYzpQRwR6a0vqnO40,Jana F,5,"Great coffee and food! Cool modern industrial ambience. Staff is very friendly and efficient. Can recommend the vegan hamburger, it""s very tasty!",a year ago
Coffee Lab,ChIJMx_GCb1XzpQR0HcKUeEoCxk,Michael Morales,5,"Coffee Lab has hands down become one of my favorite coffee shops in the world. First, the space is everything you could want a cool, laid-back coffee shop to be. Greenery everywhere, private nooks, gathering spaces and it’s deceptively expansive. Second, the service of all of the baristas was excellent. Their knowledge and passion for coffee was palpable. And finally, the coffee! The coffee was so exceptionally prepared and you’d be hard pressed to find a better tasting shot of espresso or a cup of coffee anywhere else in the world. A MUST stop by if you’re in São Paulo!",a month ago
Coffee Lab,ChIJMx_GCb1XzpQR0HcKUeEoCxk,kim e. powell,5,"5.0 | This place is a gem. I think this is easily one of the most unique coffee spots I’ve been to. they also have a ritual menu, where I ordered the cappuccino, one was made italian style, the other brazilian style. it was very pleasant, and both were presented in a way to appreciate the uniqueness of ea. the other folks got pour overs and teas, which they also enjoyed. the branding of the space is nice, and the experience is catered to true coffee enthusiasts. I loved it. I highly recommend you go if you’re in São Paulo.",9 months ago
Coffee Lab,ChIJMx_GCb1XzpQR0HcKUeEoCxk,Andreas Spindler,5,"Yes! Definitely yes! The staff is very accommodating, knowledgeable, speaks English very well, the place is very relaxing and of course the coffee is fantastic! They also had a gluten free 'bolo' made with corn flour. They are also aware of cross contamination and told us that they make it in the same kitchen as the other cakes. So, be aware!",2 months ago
Coffee Lab,ChIJMx_GCb1XzpQR0HcKUeEoCxk,Tiago DSP,5,"Great drip coffee with interesting flavours from different regions. A nice place to start the day in a cozy, industrial style coffee place. The prices are on the high side for locals, but perfectly fine for foreigners.",2 days ago
Coffee Lab,ChIJMx_GCb1XzpQR0HcKUeEoCxk,Larisa Hladiuc,5,"I liked this place a lot, it was different from other coffee places I tried in SP. The location itself was unique, with both outdoor & indoor seating and a lot of greenery.",2 months ago
Coffee Lab,ChIJMx_GCb1XzpQR0HcKUeEoCxk,julia hudler,5,Amazing coffee in an amazing place !!! Loved it so much.,3 months ago
Coffee Lab,ChIJMx_GCb1XzpQR0HcKUeEoCxk,Florian Winkler,5,"by far the most sophisticated and coolest coffee place I""ve been so far. If you like good coffee and want a great experience, go there. Prices are more than fair.",3 months ago
