place_id,title,rating,polaridade,polaridade_num,polaridade_texto,ResumoTexto
ChIJwyMV-yf4zpQR9lsnx8FfygI,'Liderança MaxCoffee Quality | Locação E Venda De Máquinas De Café Expresso Profissional - Vending - Café TerraGrão - Eventos,4.375,0.5881557765151515,1,Positivo,plus the 2nd package now with a new texture I gained even more from Café Terra Grão. It is certainly a coffee that I come to make all the difference.
ChIJxbXNHalZzpQRYb-PzJ3bbTQ,89ºC Coffee Station,4.0,0.40906939484126986,1,Positivo,"I liked choux cream (I""m addicted kk) With health protocols be aware you can not find a sit but It is a place you shall visit.. One of my favorite coffeeshops in São Paulo! There are also quite interesting coxinhas, in the shimeji (mushroom) and kani (crab) flavors."
ChIJUfod8zRfzpQR-IlJWAVwxOk,@ Zona Norte,3.5,0.9183333333333332,1,Positivo,"It was very good, family atmosphere, VIP service, excellent work, I really liked it.. Excellent quality of meals."
ChIJpVFK2xpYzpQRRN7Cdq6VrRA,A Baianeira,4.625,0.49364583333333334,1,Positivo,"Chef Manu worked at DOM a few years ago then decided to open her own place focusing on comfort food from Bahia and Minas Gerais, hence the name. Best pão de queijo in brasil, you can also take them frozen to bake at home."
ChIJJ14kJNj3zpQRAm6a2hBwSjE,A Bolaria,5.0,0.7690178571428571,1,Positivo,"best cake in the north zone, cakes always very fresh and tasty!! in addition to the quality of service, which is incredible !"
ChIJK76a5E5YzpQRCoY7nm1M3-k,A Casa do Porco Bar,4.75,0.5088054522156085,1,Positivo,"I developed taste for spicy food and it all seemed  very bland apart from lovely crunch  marinated beetroot. Either make a reservation or arrive very early, and take into consideration that this is not an ideal place for large groups."
ChIJ-8tnwpBYzpQRi_6bJhe9-WE,A Creperia,4.75,0.22989215067340069,1,Positivo,"Then the same attendant was staring at me with a mocking look, expressing anger. Well-assembled crepe, very tasty, quick service, attentive and careful employees with the safety protocol against COVID-19."
ChIJ_Sg3TMZVzpQRXY7AceI8s-8,A Douceur Doces Finos,3.0,0.39583333333333337,1,Positivo,"I gave three kings cakes as a gift, everyone loved them. Cozy place, 1000 service and delicious sweets !"
ChIJk_P5UkJQzpQRue4l2YSfWxk,A Imperatriz • Casa de Chá - Presentes - Terapias,4.5,0.38444800967261905,1,Positivo,"The menu is very natural with salads, quiches, cakes and different types of tea. If you have, please let me know, as I will arrange to pick it up."
ChIJIxx3M8xZzpQR8_zbwK72tdk,A Quinta do Marquês- Xodó Paulista,3.875,0.40914772727272725,1,Positivo,"Food not particularly interesting, but the prices are ok. Service was good.. Great place. Incredibly organized and a huge selection of products.. My new favorite place, ever."
