title,place_id,rating,reviews,price,type,ZonaSP,address,latitude,longitude,open_state,description,thumbnail,sunday,monday,tuesday,wednesday,thursday,friday,saturday,inicio,fim,aberto_dia_util(%),aberto_final_de_semana(%),madrugada,manha,tarde,noite,inicio_periodo,fim_periodo,dine_in,takeout,delivery,drive_through,Cluster
Sagrado Almoço,ChIJU008MZNTzpQRpjpsv33pRQs,4.6,14.0,5,restaurant,Sul,"Estr. do Campo Limpo, 992 - Vila Prel, São Paulo - SP, 05777-000, Brazil",-23.6479188,-46.7629977,Open ⋅ Closes 8 pm,,https://lh5.googleusercontent.com/p/AF1QipO1TL8Y7GTmMvJcKhKQ6CurqS-e3rX_Hahd0_Ur=w94-h92-k-no,0,1,1,1,1,1,1,8.0,20.0,100.0,66.7,0.0,66.0,100.0,17.0,manha,noite,1,1,0,0,4.0
2 L's Restaurante E Bar Almoço-Lanches,ChIJU4W1hWVezpQRb7UZOCXHQNk,4.6,17.0,5,restaurant,Leste,"Rua Coronel Marques, 399 - Vila Nova Manchester, São Paulo - SP, 03440-005, Brazil",-23.5430909,-46.5455258,Opens soon ⋅ 11:30 am,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=exMCb-aws31uCxbWtmOCQQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=347.15842&pitch=0&thumbfov=100,0,1,1,1,1,1,1,11.5,14.5,100.0,66.7,0.0,7.0,36.0,0.0,manha,tarde,1,1,1,0,5.0
Brasiliano Restaurante,ChIJhbffCo6KxZQREb1Ryt2u80Y,4.5,881.0,0,buffet restaurant,Outro,"Av. Prof. Arthur Fonseca, 841 - Jardim Faculdade, Sorocaba - SP, 18031-005, Brazil",-23.515907,-47.463541,Open ⋅ Closes 2:30 pm,,https://lh5.googleusercontent.com/p/AF1QipP11RNUDzapnoOD7W4rPtDr6Ygu4pZgXm6va_ZK=w122-h92-k-no,0,1,1,1,1,1,1,11.0,14.5,100.0,66.7,0.0,15.0,36.0,0.0,manha,tarde,1,1,0,0,0.0
Sirva-se Almoço,ChIJzfUSXO74zpQRhxWMHFXJ9-8,4.5,201.0,5,buffet restaurant,Oeste,"R. Conselheiro Ribas, 330 - Vila Anastácio, São Paulo - SP, 05093-060, Brazil",-23.5147015,-46.7207434,Closed ⋅ Opens 11 am Mon,,https://lh5.googleusercontent.com/p/AF1QipOzyqcWTgJ6m_01D9yfuXcEPpBKYJJTNB81xQUR=w122-h92-k-no,0,1,1,1,1,1,0,11.0,15.0,100.0,33.3,0.0,15.0,43.0,0.0,manha,tarde,1,1,1,0,1.0
Speed Almoço,ChIJR5o7uexWzpQR4NL-w4Fybvg,4.5,26.0,5,restaurant,Oeste,"Rua Dr. SÍlvio Dante Bertacchi, 253 - Vila Sonia, São Paulo - SP, 05625-000, Brazil",-23.596165,-46.7299293,Open ⋅ Closes 10 pm,,https://lh5.googleusercontent.com/p/AF1QipMMLu2z0Jl_59Roc3PIS3mIkai-6wBA8ofz1tqh=w163-h92-k-no,0,1,1,1,1,1,1,11.0,22.0,100.0,66.7,0.0,15.0,100.0,51.0,manha,noite,1,1,0,0,11.0
Pizza Almoço Marmitex,ChIJBxcVOlP4zpQR4Li58g0VAnA,4.6,32.0,5,restaurant,Oeste,"Av. Min. Petrônio Portela, 309 - Moinho Velho, São Paulo - SP, 02959-000, Brazil",-23.496101,-46.7027375,,,https://lh5.googleusercontent.com/p/AF1QipMmQKRO3-l1zc0jZqZZiGm6SmsiHpS1sm2hoTpd=w122-h92-k-no,1,1,1,1,1,1,1,,,100.0,100.0,0.0,0.0,0.0,0.0,,,1,1,0,0,
Galpão Restaurante,ChIJk6kN2SYf35QR-o2NU-feIec,4.5,741.0,0,restaurant,Outro,"R. Dois de Setembro, 2145 - Itoupava Norte, Blumenau - SC, 89052-002, Brazil",-26.8930136,-49.0789599,Open ⋅ Closes 2 pm,,https://lh5.googleusercontent.com/p/AF1QipOZdUPNwCrQtEh8I2N7gJuD-sQ_pPgxEC3eWyHo=w80-h106-k-no,0,1,1,1,1,1,1,11.0,14.0,100.0,66.7,0.0,15.0,29.0,0.0,manha,tarde,1,1,0,0,2.0
Almoço | Comida Caseira | Marmitex | Restaurante | × [SABOR FAMÍLIA],ChIJTRMTvz_5zpQRpXznyTwMt-g,5.0,10.0,5,restaurant,Oeste,"Rua Félix Guilhem, 1415-1403 - Lapa de Baixo, São Paulo - SP, 02675-031, Brazil",-23.512486,-46.711237,Open ⋅ Closes 2 pm,,https://lh5.googleusercontent.com/p/AF1QipNbeUK_rvHJrIT6SROCSDNb4J4jB0a3qjlGF-xA=w80-h106-k-no,0,1,1,1,1,1,1,10.5,15.333333333333334,100.0,66.7,0.0,24.0,48.0,0.0,manha,tarde,1,1,0,0,15.0
Casa Do Norte Ceará Marroais Almoço E Marmitex,ChIJwQsj9dZmzpQR7ImY_hcLpQE,4.7,20.0,5,restaurant,Leste,"Cidade Antônio Estêvão de Carvalho, São Paulo - SP, 03889-000, Brazil",-23.5370676,-46.4752441,Open ⋅ Closes 12 am,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rYaXJ5-pN_a-WFlEkIvTVQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=137.937&pitch=0&thumbfov=100,0,1,1,1,1,1,1,,,100.0,66.7,0.0,0.0,0.0,0.0,,,1,1,0,0,
Restaurante Rango Saboroso - Almoço - Marmitex - Feijoada - Cantinho Italiano - Refeição Deliciosa,ChIJFR6HJXVdzpQR3ixkvcwGslg,4.5,19.0,5,brazilian restaurant,Leste,"Av. Prof. Carini, 50 - Vila Formosa, São Paulo - SP, 03367-020, Brazil",-23.5673633,-46.5356669,Open ⋅ Closes 4 pm,,https://lh5.googleusercontent.com/p/AF1QipPPlh_7TVSzymwBwuLRbR2HiGiUUrz-ad4CI2uy=w80-h106-k-no,1,1,1,1,0,1,1,9.5,16.0,75.0,100.0,0.0,41.0,58.0,0.0,manha,tarde,1,1,0,0,11.0
