position,title,place_id,data_id,data_cid,rating,reviews,price,type,address,latitude,longitude,open_state,description,thumbnail
1,Sagrado Almoço,ChIJU008MZNTzpQRpjpsv33pRQs,0x94ce5393313c4d53:0xb45e97dbf6c3aa6,812312034101967526,4.6,14.0,,Restaurant,"Estr. do Campo Limpo, 992 - Vila Prel, São Paulo - SP, 05777-000, Brazil",-23.6479188,-46.7629977,Open ⋅ Closes 8 pm,,https://lh5.googleusercontent.com/p/AF1QipO1TL8Y7GTmMvJcKhKQ6CurqS-e3rX_Hahd0_Ur=w94-h92-k-no
2,2 L's Restaurante E Bar Almoço-Lanches,ChIJU4W1hWVezpQRb7UZOCXHQNk,0x94ce5e6585b58553:0xd940c7253819b56f,15654731267408770415,4.6,17.0,,Restaurant,"Rua Coronel Marques, 399 - Vila Nova Manchester, São Paulo - SP, 03440-005, Brazil",-23.5430909,-46.5455258,Opens soon ⋅ 11:30 am,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=exMCb-aws31uCxbWtmOCQQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=347.15842&pitch=0&thumbfov=100
3,Brasiliano Restaurante,ChIJhbffCo6KxZQREb1Ryt2u80Y,0x94c58a8e0adfb785:0x46f3aeddca51bd11,5112622269601004817,4.5,881.0,£,Buffet restaurant,"Av. Prof. Arthur Fonseca, 841 - Jardim Faculdade, Sorocaba - SP, 18031-005, Brazil",-23.515907,-47.463541,Open ⋅ Closes 2:30 pm,,https://lh5.googleusercontent.com/p/AF1QipP11RNUDzapnoOD7W4rPtDr6Ygu4pZgXm6va_ZK=w122-h92-k-no
4,Sirva-se Almoço,ChIJzfUSXO74zpQRhxWMHFXJ9-8,0x94cef8ee5c12f5cd:0xeff7c9551c8c1587,17291510661700654471,4.5,201.0,,Buffet restaurant,"R. Conselheiro Ribas, 330 - Vila Anastácio, São Paulo - SP, 05093-060, Brazil",-23.5147015,-46.7207434,Closed ⋅ Opens 11 am Mon,,https://lh5.googleusercontent.com/p/AF1QipOzyqcWTgJ6m_01D9yfuXcEPpBKYJJTNB81xQUR=w122-h92-k-no
5,Speed Almoço,ChIJR5o7uexWzpQR4NL-w4Fybvg,0x94ce56ecb93b9a47:0xf86e7281c3fed2e0,17901371470508905184,4.5,26.0,,Restaurant,"Rua Dr. SÍlvio Dante Bertacchi, 253 - Vila Sonia, São Paulo - SP, 05625-000, Brazil",-23.596165,-46.7299293,Open ⋅ Closes 10 pm,,https://lh5.googleusercontent.com/p/AF1QipMMLu2z0Jl_59Roc3PIS3mIkai-6wBA8ofz1tqh=w163-h92-k-no
6,Pizza Almoço Marmitex,ChIJBxcVOlP4zpQR4Li58g0VAnA,0x94cef8533a151707:0x7002150df2b9b8e0,8071036631852366048,4.6,32.0,,Restaurant,"Av. Min. Petrônio Portela, 309 - Moinho Velho, São Paulo - SP, 02959-000, Brazil",-23.496101,-46.7027375,,,https://lh5.googleusercontent.com/p/AF1QipMmQKRO3-l1zc0jZqZZiGm6SmsiHpS1sm2hoTpd=w122-h92-k-no
7,Galpão Restaurante,ChIJk6kN2SYf35QR-o2NU-feIec,0x94df1f26d90da993:0xe721dee7538d8dfa,16654837982113402362,4.5,741.0,£,Restaurant,"R. Dois de Setembro, 2145 - Itoupava Norte, Blumenau - SC, 89052-002, Brazil",-26.8930136,-49.0789599,Open ⋅ Closes 2 pm,,https://lh5.googleusercontent.com/p/AF1QipOZdUPNwCrQtEh8I2N7gJuD-sQ_pPgxEC3eWyHo=w80-h106-k-no
8,Almoço | Comida Caseira | Marmitex | Restaurante | × [SABOR FAMÍLIA],ChIJTRMTvz_5zpQRpXznyTwMt-g,0x94cef93fbf13134d:0xe8b70c3cc9e77ca5,16768885192762293413,5.0,10.0,,Family restaurant,"Rua Félix Guilhem, 1415-1403 - Lapa de Baixo, São Paulo - SP, 02675-031, Brazil",-23.512486,-46.711237,Open ⋅ Closes 2 pm,,https://lh5.googleusercontent.com/p/AF1QipNbeUK_rvHJrIT6SROCSDNb4J4jB0a3qjlGF-xA=w80-h106-k-no
9,Casa Do Norte Ceará Marroais Almoço E Marmitex,ChIJwQsj9dZmzpQR7ImY_hcLpQE,0x94ce66d6f5230bc1:0x1a50b17fe9889ec,118513162878749164,4.7,20.0,,Restaurant,"Cidade Antônio Estêvão de Carvalho, São Paulo - SP, 03889-000, Brazil",-23.5370676,-46.4752441,Open ⋅ Closes 12 am,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rYaXJ5-pN_a-WFlEkIvTVQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=137.937&pitch=0&thumbfov=100
10,Restaurante Rango Saboroso - Almoço - Marmitex - Feijoada - Cantinho Italiano - Refeição Deliciosa,ChIJFR6HJXVdzpQR3ixkvcwGslg,0x94ce5d7525871e15:0x58b206ccbd642cde,6391178297612709086,4.5,19.0,,Brazilian restaurant,"Av. Prof. Carini, 50 - Vila Formosa, São Paulo - SP, 03367-020, Brazil",-23.5673633,-46.5356669,Open ⋅ Closes 4 pm,,https://lh5.googleusercontent.com/p/AF1QipPPlh_7TVSzymwBwuLRbR2HiGiUUrz-ad4CI2uy=w80-h106-k-no
