,title,place_id,username,rating,description,images,date
0,Por um Punhado de Dólares,ChIJ08g_akxYzpQR0RO2V9l10wA,Vanessa Scott,5,"Very chill and hipster, cool place! Came here on a Monday morning. Great vibes here. Got the latte, banana bread and a cookie and all were super good. Top! Kind and fast service.
Really loved the coffee.","[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPknzgT_FVuh8ysOVLZhpMSXiNWk908SLz4s-KY=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNv-TD-nc1KHliwf2yATr4jHuy0Gqk2bSCp6sH1=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipN_Sa348GHusZ_b2wkvzuemwiDZqgi6-mzuVbGf=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPARyVPCbBxrJh2QWcVoTSN41g2jIsJfn_aBNKt=w150-h150-k-no-p'}]",a month ago
1,Por um Punhado de Dólares,ChIJ08g_akxYzpQR0RO2V9l10wA,Pedro Henrique Fernandes,5,"Superb coffee shop in São Paulo, easily one of the best. Their house roasts are few, but expertly selected and cover almost all the possible requirements for a cup of coffee. Their espresso is well taken, resulting in a cup that is far more complex than a standard bitter cup.
Their sandwiches, cakes and pastries are all delightful, nothing to add.
The house is clearly a safe haven for the progressive and leftwing, and all the patrons and staff are so polite and nice to each other.
The only point I""d suggest is to lower the volume of the music a bit, it was somewhat hard to maintain a conversation.",,3 months ago
2,Por um Punhado de Dólares,ChIJ08g_akxYzpQR0RO2V9l10wA,Caio Cruz,5,"Really cool atmosphere plus good cakes and coffee. My guess is most people come to drink the coffees with brandy and other spirits. It""s hard to park nearby and during the day it""s recommended to Uber or even a walk is fine.",[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNftZhPX1e93DhtAjxk9xewHQL0-IckXNHajGfD=w150-h150-k-no-p'}],9 months ago
3,Por um Punhado de Dólares,ChIJ08g_akxYzpQR0RO2V9l10wA,Sebastian HH,5,"Super nice cafe !
Delicious coffee and sandwiches",[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOqIr3ihQhQwA3eyvMQszgHafvcgoy5q3NZkMY=w150-h150-k-no-p'}],a month ago
4,Por um Punhado de Dólares,ChIJ08g_akxYzpQR0RO2V9l10wA,Rachel B,5,"Super enjoyed this place! We came in passing while waiting for our dinner reservation, and it was absolutely perfect.

Very well made cappuccino, and so many other nice drink options! Alcohol or non-alcohol. My friend also got a calming tea - made with chamomile, passion fruit, honey and orange. Also delicious!

Other great thing about this place is the vibes. The servers were very kind, open and welcoming. Great environment to relax and feel welcome with your drink ☺️

Hope to be able to return here someday!

#ppd #porumpunhadodolares #cafe #coffee #brazil #goodvibes","[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNm69pccUklhhK6zSwulbOZAmjJmm6i93oHw_vd=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPXC_-K9vCe2Zgl0vxCZGT7Zm-n25fKdudNkJvx=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNVyOlZMFIaKcNSzw8Ak38gfYm0T9wYmjGnTBFU=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMi6TiJKtVjW4iykgxefBDILknX0OiTbIcMZmOE=w150-h150-k-no-p'}]",4 years ago
5,Por um Punhado de Dólares,ChIJ08g_akxYzpQR0RO2V9l10wA,Phyllis Kong,5,I had the best coffee here in São Paulo. Great and claim ambience in the cafe with simple modern industrial style. They also sell local roasted coffee beans. Wifi available.,"[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPiOnJcY8o98hHJ5qH6yApDirpySaFx4kplVsK5=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPs8LeQ7RnkeNg99TXDNaqNZy9vjARFFqp5xaGG=w150-h150-k-no-p'}]",3 years ago
6,Por um Punhado de Dólares,ChIJ08g_akxYzpQR0RO2V9l10wA,Thomas Harris,5,Great cappuccino. Seems like an amazing hang out spot. And maybe a good place to work remotely during the day as they have wifi,,a month ago
7,Por um Punhado de Dólares,ChIJ08g_akxYzpQR0RO2V9l10wA,Pascal Mcduff,5,Excellent independent coffee shop. Great vibe inside and always busy up to late in the evening. Their coco pao de quejo is incredible.,[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPb2HdPaB2wtN2W60dv-OvN9ex0FajEqQWXi5R_=w150-h150-k-no-p'}],11 months ago
8,Café Girondino,ChIJK73OtlVYzpQRmxTwBZPKlaY,Yuko KK,4,"I would say 4.3 :)
Perfect location, clean, nice decorations, well organized menus, good service, nice staffs, no long waiting time, fair price setting (maybe a bit more expensive than other places in the neighborhood/centro but no complaint)
My carrot cake with chocolate was amazing! A slice was big and the cake itself was surprisingly very moist and yummy! Not super sweet but just tasty !!! I could eat five more slices🤣
My cappuccino came with a cute little dog art on it😘 very lovely to see it ! Just one thing to say..... On the button of the cup, there was still powder left, i needed to blend a bit. Nothing more.
I def come back ! Next time i will try their red velvet cookies, which looked very good 😊","[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOXcMpbDje7_yrSETBz1ZaFOce1fXdiFHDaMxpT=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPzR1wP1APoaQDWdBKYbbGhMfdGmVAKEfZusBqo=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPI5FgniwH5pmZExVdHcKfxxi9xkJfcAKI3otPl=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOzsMbbh_SWtWszV_5uAcXnIvfy1sQ_5zHWRctU=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMk76xCuh4GBU-FITykVens4D9iZ3_vsLsbVLh3=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNywGIsPX1iTaWD1sfXZps995rzd-6E05VRHIoJ=w150-h150-k-no-p'}]",8 months ago
9,Café Girondino,ChIJK73OtlVYzpQRmxTwBZPKlaY,M,5,"Delicious lunch at this thriving restaurant next to the old town metro. Excellent service and atmosphere.
Enjoyed the bread basket including the traditional cheese bread. Trout with risotto was very well cooked and flavoured.",,3 months ago
