,title,place_id,user_reviews(summary),time_spent
0,Por um Punhado de Dólares,ChIJ08g_akxYzpQR0RO2V9l10wA,"{'snippet': ""'Very nice coffee shop, it also has a small selection of craft beers.'""}",People typically spend 25 min to 1.5 hr here
1,Por um Punhado de Dólares,ChIJ08g_akxYzpQR0RO2V9l10wA,"{'snippet': ""'Really cool atmosphere plus good cakes and coffee.'""}",People typically spend 25 min to 1.5 hr here
2,Por um Punhado de Dólares,ChIJ08g_akxYzpQR0RO2V9l10wA,"{'snippet': ""'Other great thing about this place is the vibes.'""}",People typically spend 25 min to 1.5 hr here
3,KOF - King of The Fork,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,"{'snippet': ""'Cozy atmosphere, great coffee with decent price and lovely home-made cakes!!!'""}",People typically spend 25 min to 1 hr here
4,KOF - King of The Fork,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,"{'snippet': ""'Good place to have breakfast, the coffee is amazing and the service is perfect.'""}",People typically spend 25 min to 1 hr here
5,KOF - King of The Fork,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,"{'snippet': ""'Great coffee, delicious cakes, stylish setting and friendly staff.'""}",People typically spend 25 min to 1 hr here
6,Cupping Café,ChIJe45oNJZXzpQRUXYN4bE42h8,"{'snippet': ""'Great place to spend some time with a cup of coffee.'""}",People typically spend 25 min to 1 hr here
7,Cupping Café,ChIJe45oNJZXzpQRUXYN4bE42h8,"{'snippet': ""'Very strong lovely coffee and excellent banana bread.'""}",People typically spend 25 min to 1 hr here
8,Cupping Café,ChIJe45oNJZXzpQRUXYN4bE42h8,"{'snippet': ""'They also have homemade nut milk for those who prefer leite vegetal to dairy.'""}",People typically spend 25 min to 1 hr here
9,Um Coffee Co.,ChIJgY-iHWZYzpQRUQ1dHiOh1IU,"{'snippet': ""'Great coffee, beautiful desserts, delicious brunch, and nice service ❤️'""}",People typically spend 20 min to 1.5 hr here
10,Um Coffee Co.,ChIJgY-iHWZYzpQRUQ1dHiOh1IU,"{'snippet': ""'Excellent Coffee place, best pour over I’ve ever had and a very tasty eggs Benny'""}",People typically spend 20 min to 1.5 hr here
11,Um Coffee Co.,ChIJgY-iHWZYzpQRUQ1dHiOh1IU,"{'snippet': '\'Marvellous cafe, where I was served the best espresso I""ve ever had in Brazil.\''}",People typically spend 20 min to 1.5 hr here
12,Café Habitual,ChIJdcQM1SpYzpQRpD3Wz1v6JK0,"{'snippet': ""'Amazing food, great service and very honest prices!'""}",People typically spend 20 min to 1.5 hr here
13,Café Habitual,ChIJdcQM1SpYzpQRpD3Wz1v6JK0,"{'snippet': ""'Charming place, perfect attention from the crew, delicious food and coffee.'""}",People typically spend 20 min to 1.5 hr here
14,Café Habitual,ChIJdcQM1SpYzpQRpD3Wz1v6JK0,"{'snippet': ""'A wide variety of tasty options and an amazing Bloody Mary.'""}",People typically spend 20 min to 1.5 hr here
15,Coffee Selfie,ChIJQQ4oFwxZzpQRAHaNTb8Y-1s,"{'snippet': ""'Coffee selfie has great staff so polite and friendly.'""}",People typically spend 30 min to 1 hr here
16,Coffee Selfie,ChIJQQ4oFwxZzpQRAHaNTb8Y-1s,"{'snippet': ""'I stayed in a place that would not bother other people and their service.'""}",People typically spend 30 min to 1 hr here
17,Coffee Selfie,ChIJQQ4oFwxZzpQRAHaNTb8Y-1s,"{'snippet': '\'Finally, ask about selfie coffee, it""s a really good idea for coffee lovers!!\''}",People typically spend 30 min to 1 hr here
18,Sofá Café Pinheiros,ChIJ7VeJwwpXzpQRYQDjChPjiLs,"{'snippet': ""'Very good selection of brewed coffee, juices and light food/desserts.'""}",People typically spend 25 min to 1.5 hr here
19,Sofá Café Pinheiros,ChIJ7VeJwwpXzpQRYQDjChPjiLs,"{'snippet': ""'Super cozy atmosphere, fair price and awesome service'""}",People typically spend 25 min to 1.5 hr here
20,Sofá Café Pinheiros,ChIJ7VeJwwpXzpQRYQDjChPjiLs,"{'snippet': ""'Enjoyed a detox juice, tostex de queijo, espresso and avela brownie.'""}",People typically spend 25 min to 1.5 hr here
21,Starbucks,ChIJmX-KsMdZzpQRmeJKTyPsVFQ,"{'snippet': ""'Friendly staff, usually fast with service even during rush hour.'""}",People typically spend 20 min to 1.5 hr here
22,Starbucks,ChIJmX-KsMdZzpQRmeJKTyPsVFQ,"{'snippet': '\'Nice place to work from when you""re bored of the office!\''}",People typically spend 20 min to 1.5 hr here
