ID,idEstabelecimento,Nota,Data,Texto,PolaridadeValor,PolaridadeTexto
0,ChIJ08g_akxYzpQR0RO2V9l10wA,5,a month ago,"Very chill and hipster, cool place! Came here on a Monday morning. Great vibes here. Got the latte, banana bread and a cookie and all were super good. Top! Kind and fast service.
Really loved the coffee.",0.5106481481481482,Positivo
1,ChIJ08g_akxYzpQR0RO2V9l10wA,5,3 months ago,"Superb coffee shop in São Paulo, easily one of the best. Their house roasts are few, but expertly selected and cover almost all the possible requirements for a cup of coffee. Their espresso is well taken, resulting in a cup that is far more complex than a standard bitter cup.
Their sandwiches, cakes and pastries are all delightful, nothing to add.
The house is clearly a safe haven for the progressive and leftwing, and all the patrons and staff are so polite and nice to each other.
The only point I""d suggest is to lower the volume of the music a bit, it was somewhat hard to maintain a conversation.",0.2572916666666666,Positivo
2,ChIJ08g_akxYzpQR0RO2V9l10wA,5,9 months ago,"Really cool atmosphere plus good cakes and coffee. My guess is most people come to drink the coffees with brandy and other spirits. It""s hard to park nearby and during the day it""s recommended to Uber or even a walk is fine.",0.2583333333333333,Positivo
3,ChIJ08g_akxYzpQR0RO2V9l10wA,5,a month ago,"Super nice cafe !
Delicious coffee and sandwiches",0.6944444444444443,Positivo
4,ChIJ08g_akxYzpQR0RO2V9l10wA,5,4 years ago,"Super enjoyed this place! We came in passing while waiting for our dinner reservation, and it was absolutely perfect.

Very well made cappuccino, and so many other nice drink options! Alcohol or non-alcohol. My friend also got a calming tea - made with chamomile, passion fruit, honey and orange. Also delicious!

Other great thing about this place is the vibes. The servers were very kind, open and welcoming. Great environment to relax and feel welcome with your drink ☺️

Hope to be able to return here someday!

#ppd #porumpunhadodolares #cafe #coffee #brazil #goodvibes",0.5308888888888889,Positivo
5,ChIJ08g_akxYzpQR0RO2V9l10wA,5,3 years ago,I had the best coffee here in São Paulo. Great and claim ambience in the cafe with simple modern industrial style. They also sell local roasted coffee beans. Wifi available.,0.3999999999999999,Positivo
6,ChIJ08g_akxYzpQR0RO2V9l10wA,5,a month ago,Great cappuccino. Seems like an amazing hang out spot. And maybe a good place to work remotely during the day as they have wifi,0.5,Positivo
7,ChIJ08g_akxYzpQR0RO2V9l10wA,5,11 months ago,Excellent independent coffee shop. Great vibe inside and always busy up to late in the evening. Their coco pao de quejo is incredible.,0.4166666666666667,Positivo
8,ChIJK73OtlVYzpQRmxTwBZPKlaY,4,8 months ago,"I would say 4.3 :)
Perfect location, clean, nice decorations, well organized menus, good service, nice staffs, no long waiting time, fair price setting (maybe a bit more expensive than other places in the neighborhood/centro but no complaint)
My carrot cake with chocolate was amazing! A slice was big and the cake itself was surprisingly very moist and yummy! Not super sweet but just tasty !!! I could eat five more slices🤣
My cappuccino came with a cute little dog art on it😘 very lovely to see it ! Just one thing to say..... On the button of the cup, there was still powder left, i needed to blend a bit. Nothing more.
I def come back ! Next time i will try their red velvet cookies, which looked very good 😊",0.3358738425925927,Positivo
9,ChIJK73OtlVYzpQRmxTwBZPKlaY,5,3 months ago,"Delicious lunch at this thriving restaurant next to the old town metro. Excellent service and atmosphere.
Enjoyed the bread basket including the traditional cheese bread. Trout with risotto was very well cooked and flavoured.",0.4,Positivo
