Nome,ID,Cluster,NotaMedia,QntdAvaliaçoes,FaixaPreço,Categoria,Thumbnail
Sagrado Almoço,ChIJU008MZNTzpQRpjpsv33pRQs,4,"4,6",14,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipO1TL8Y7GTmMvJcKhKQ6CurqS-e3rX_Hahd0_Ur=w94-h92-k-no
2 L's Restaurante E Bar Almoço-Lanches,ChIJU4W1hWVezpQRb7UZOCXHQNk,5,"4,6",17,5,restaurant,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=exMCb-aws31uCxbWtmOCQQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=347.15842&pitch=0&thumbfov=100
Brasiliano Restaurante,ChIJhbffCo6KxZQREb1Ryt2u80Y,0,"4,5",881,0,buffet restaurant,https://lh5.googleusercontent.com/p/AF1QipP11RNUDzapnoOD7W4rPtDr6Ygu4pZgXm6va_ZK=w122-h92-k-no
Sirva-se Almoço,ChIJzfUSXO74zpQRhxWMHFXJ9-8,1,"4,5",201,5,buffet restaurant,https://lh5.googleusercontent.com/p/AF1QipOzyqcWTgJ6m_01D9yfuXcEPpBKYJJTNB81xQUR=w122-h92-k-no
Speed Almoço,ChIJR5o7uexWzpQR4NL-w4Fybvg,11,"4,5",26,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipMMLu2z0Jl_59Roc3PIS3mIkai-6wBA8ofz1tqh=w163-h92-k-no
Galpão Restaurante,ChIJk6kN2SYf35QR-o2NU-feIec,2,"4,5",741,0,restaurant,https://lh5.googleusercontent.com/p/AF1QipOZdUPNwCrQtEh8I2N7gJuD-sQ_pPgxEC3eWyHo=w80-h106-k-no
Almoço | Comida Caseira | Marmitex | Restaurante | × [SABOR FAMÍLIA],ChIJTRMTvz_5zpQRpXznyTwMt-g,15,5,10,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipNbeUK_rvHJrIT6SROCSDNb4J4jB0a3qjlGF-xA=w80-h106-k-no
Restaurante Rango Saboroso - Almoço - Marmitex - Feijoada - Cantinho Italiano - Refeição Deliciosa,ChIJFR6HJXVdzpQR3ixkvcwGslg,11,"4,5",19,5,brazilian restaurant,https://lh5.googleusercontent.com/p/AF1QipPPlh_7TVSzymwBwuLRbR2HiGiUUrz-ad4CI2uy=w80-h106-k-no
Chefia Restaurante,ChIJPbtiSutCzpQR4WiIK3qiKLQ,13,"4,6",559,1,buffet restaurant,https://lh5.googleusercontent.com/p/AF1QipNZjIeUaboNal5wcL8l5P731FDBf6lvgySqPGj5=w80-h106-k-no
Maddie Almoço,ChIJpYC5RvtEzpQRRVefGN9er4U,9,"4,5",357,1,buffet restaurant,https://lh5.googleusercontent.com/p/AF1QipNSvGrTSkFZ_sJ3Yb_UPS4EpqPKpY3z4fmzUFpe=w80-h142-k-no
SIRI CASCUDO LANCHONETE / ALMOÇO,ChIJB6QJqhdjzpQROmX0U_X9lJE,11,"4,6",30,0,fast food restaurant,https://lh5.googleusercontent.com/p/AF1QipPmCOSBdRiCG1xxcup1z7sptHUUTIjMyJpadVge=w122-h92-k-no
Casinha Mineira,ChIJBZG1_cdZzpQR_7_BhnUnt0I,0,"4,5",1218,1,brazilian restaurant,https://lh5.googleusercontent.com/p/AF1QipMv3DLPjoQe7KdJSvHxCgnkWIRjleuZ4izrEd9H=w137-h92-k-no
‍ Almoço Self-Service e marmitex delivery na Vila Andrade - Restaurante Catuti,ChIJN4Ij_CBRzpQRiYKM4302AnA,10,"4,4",65,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipNh9QCZBSXfnLoNCg14u52K6B63gBOj8BL9wfj2=w122-h92-k-no
O Comilão Restaurante,ChIJgTqzJ4xbzpQRdA-bOncMYYg,8,"4,6",295,0,brazilian restaurant,https://lh5.googleusercontent.com/p/AF1QipNWqyOcJY5sBu4pqk83gUsB0dvLjOgDiZQTE_56=w163-h92-k-no
R&S Pastelaria E Lanchonete Servimos Almoço,ChIJMUjhG1ZFzpQRn4MX_kSIyv8,5,"4,5",20,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipP2Vu1qhzgQPTiaAZ0URJSlwE7065atGrCw_lM7=w80-h106-k-no
Restaurante,ChIJ-e59XBj4zpQRMFzTnkJHG_4,10,"4,8",13,5,buffet restaurant,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZjpTncC8sPZ6EAKKrvwauw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=269.00424&pitch=0&thumbfov=100
"Espaço Da Marmita (Não fornecemos almoço, somente esquentamos marmitas)",ChIJ0RTqcFFZzpQRcZj_3Fyap0Y,9,"4,6",34,0,restaurant,https://lh5.googleusercontent.com/p/AF1QipOzs_sjICsR3l1_7r8H4y6dYOGNENcFIKfnOslj=w101-h92-k-no
Sala de Almoço,ChIJX8ws5c1XzpQRjTHVEpKm0w4,14,"4,2",326,1,restaurant,https://lh5.googleusercontent.com/p/AF1QipOI9ZoYzO5eowsza0JSJjHPzDE10Pf8P2Y6DJHk=w122-h92-k-no
Restaurante Jardim Leopoldina,ChIJn9lQq7j4zpQR0TGn2VJtbZI,0,"4,5",1048,1,buffet restaurant,https://lh5.googleusercontent.com/p/AF1QipPoB_IXffa8KvXzDLZ3VEGKGke1qkrH2_z6rtKk=w80-h106-k-no
Restaurante Casa do Almoço,ChIJbZwKSCVczpQRZru-QWsVw0w,4,"4,2",54,0,restaurant,https://lh5.googleusercontent.com/p/AF1QipOK4qc2Kf7Ea4Jog0NKhLNcgWCVxt3b-macPda6=w174-h92-k-no
"Restaurante Villa Nostra, Almoço por Quilo e Pizzaria.",ChIJMbprTSD2zpQRrvfjwoKDOug,8,"4,2",2488,1,buffet restaurant,https://lh5.googleusercontent.com/p/AF1QipON_l-A2mC-FcIL1dauekBGIxUE0to_H_cc4muy=w122-h92-k-no
Rlpm Almoço,ChIJnStRD_9hzpQRdtkReGnmBz8,11,"4,5",10,5,restaurant,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UyaRDpsgViTZsupw_oGX8w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=336.75607&pitch=0&thumbfov=100
Restaurante & Cervejaria Urbano's,ChIJ-YH8OD-VpgAR90cCB_MtKWw,7,"4,4",3825,1,buffet restaurant,https://lh5.googleusercontent.com/p/AF1QipPdxGaOnZiXL_iL_UHWAtWN9-ztsSmw3pKNwa4t=w92-h92-k-no
Ripito,ChIJlU0P1eFXzpQRmBB7JycdaS0,4,"4,8",101,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipOdvHbt5gJ3p7r00sbsRgDGIx_rvM6vpk6T4V2C=w92-h92-k-no
"Bar e Restaurante do Zé - Almoço, lanches e salgados.",ChIJYfVR4q5DzpQRjldVrVqANx8,12,"4,5",437,0,restaurant,https://lh5.googleusercontent.com/p/AF1QipPU-jScKdVAjaHYtl9u2Hop6d4v3H9guHqtLcAT=w91-h92-k-no
Quinta da Canta,ChIJI4UI6ErwzpQR2jnYNoniTWI,3,"4,7",108,1,restaurant,https://lh5.googleusercontent.com/p/AF1QipOiA_3QF52JrXbiD4k0rYwkfAhKREtAptU8Y10l=w80-h106-k-no
Villa Dos Sabores,ChIJFxNU0IZZzpQR49BAjns6ZBU,0,"4,4",405,1,restaurant,https://lh5.googleusercontent.com/p/AF1QipPU2iTdP4E5RVj3kcbyVRd0rcUYdikWyyrs3Ohc=w122-h92-k-no
Restaurante Os Barreto,ChIJz0I8YWkfzpQRLNGCHFYeJ0k,9,"4,5",670,1,restaurant,https://lh5.googleusercontent.com/p/AF1QipPepiM0mr-WqceGPJxEe2p3tnUCsvBbbdMrDUZi=w91-h92-k-no
Dona Ju Restaurante,ChIJtQZkg3BWzpQRkq2tRxqTX6M,15,"4,1",515,0,buffet restaurant,https://lh5.googleusercontent.com/p/AF1QipO3tnWgO5qApiJg_17vYAOw-qGUXJrdbrNb1zHg=w122-h92-k-no
Bam food almoço e Marmitex delivery somente pelo ifood,ChIJTUgua3pxVwERdY5FAjUf158,7,"4,4",28,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipPLLh_qAQ0Xht_vcU7EUZJ4wbfkVUaDW32iIJMd=w163-h92-k-no
Restaurante Mister Chef Almoço E Marmitex,ChIJkygLLsHmzpQRqHanmJ8HlfY,9,"4,7",16,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipOKm8R9o1Y7Ei7M-3Ia-_fThMkA0o7D2880acD2=w82-h92-k-no
Cór,ChIJq1cGjSxWzpQRqNuO9_rieo4,2,"4,4",1140,2,restaurant,https://lh5.googleusercontent.com/p/AF1QipPbqqbhZs-IwLtZ40KNy1uodS-YR9tqdfdmSe4k=w80-h106-k-no
Farfalla Restaurante e Pizzaria - Jardins,ChIJi31f_9pZzpQRLuEytX9Uq7o,8,"4,5",604,1,restaurant,https://lh5.googleusercontent.com/p/AF1QipMUh2CiCx3YjfN_O7UZhkLzVgo5xoTKzUeMRexw=w122-h92-k-no
Almoço Por Kilo,ChIJc316FAdYzpQRPaRlbHRhKWA,1,"3,9",16,5,buffet restaurant,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eZorVYKPzHOcxoqPtqjIIw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=10.641345&pitch=0&thumbfov=100
Restaurante e Pizzaria Santa Rita,ChIJ1T9G27EDzpQRvzc0iNV1YMs,1,"4,6",2596,1,pizza restaurant,https://lh5.googleusercontent.com/p/AF1QipP4-Zy2DAlYkw7yyyy8LTMxFd8GASe3a0IGH0ZU=w122-h92-k-no
Ôchopp - Almoço e Happy Hour,ChIJVz438PpazpQRtawF8m-OgX4,0,"4,3",1656,1,brazilian restaurant,https://lh5.googleusercontent.com/p/AF1QipN-LzAcdaFhKGiTq-ifWz5dfVfcYsprLR8NCCtw=w122-h92-k-no
Restaurante Mari Mariá,ChIJ_w4v8VRYzpQRgI85TJUcStk,12,"4,3",895,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipOOqgRF05f-1Ur96d_yV0_SXKk70DClnJAZmYil=w80-h106-k-no
Pratos Tipicos do Brasil,ChIJs2-yL2NnzpQRMLioobsX5vo,10,"4,7",17,5,brazilian restaurant,https://lh5.googleusercontent.com/p/AF1QipPaie4ALr-5o4JcIL8JqK6APM2E5ohiNCz8JqjR=w92-h92-k-no
Julieta Restaurante,ChIJU2L0_CeAmQARO9eDslr1KZY,4,"4,7",2065,2,restaurant,https://lh5.googleusercontent.com/p/AF1QipMeZtnP4aqVY88pwd04ffmMxgEcbqVLQYmjwosR=w80-h106-k-no
Desejo de Café,ChIJgZKK_Z1QzpQRAyss_2bhefo,8,"4,6",718,1,restaurant,https://lh5.googleusercontent.com/p/AF1QipNDIH_Ma_jnOaIAbKw5NIUOPMPMUIjBlE62zueR=w122-h92-k-no
Cantinho da Cecília,ChIJ2RJETEdYzpQRPAQA0rUzgsM,7,"4,3",2682,1,pizza restaurant,https://lh5.googleusercontent.com/p/AF1QipOZFaOB5_h6xqG1UXKFJYf0N-a2flKWhReGlP4F=w122-h92-k-no
Cantinho Da Val Lanches & Almoço,ChIJU85wPq7-zpQRAz13sT3bkXw,3,4,2,5,restaurant,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MDScrBviZ3gtKHfShrxxWQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=221.23515&pitch=0&thumbfov=100
Abbraccio Cucina Italiana,ChIJly3wj0hXzpQRuUtgMoo298A,2,"4,5",2700,2,italian restaurant,https://lh5.googleusercontent.com/p/AF1QipPH8hKSVDVTVK0V0i6yrUhdeZamvgy3SwMs5UI=w122-h92-k-no
Restaurante da Cuca,ChIJq9ukJ6RZzpQRaysBdwigZUM,10,"4,1",19,0,restaurant,https://lh5.googleusercontent.com/p/AF1QipODKBmRDZ36oqVrCpD2uQUumpn4dXTBkXd4X6Ug=w80-h122-k-no
Violeta Bar e Restaurante,ChIJlTfyNjNYzpQR-GqbbXf3QLc,7,"4,3",7972,1,brazilian restaurant,https://lh5.googleusercontent.com/p/AF1QipOXT_iSD0Ph18syP7toX4c1rURUIzqsBTPqkQo=w80-h106-k-no
Almoço e Feijoada da Mama,ChIJ_VPJGbxTzpQRKc397kmaRPc,12,"4,2",19,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipNakiULdNUXv6HZ5sPuu9Wh50jIYyOT6AJcQK97=w122-h92-k-no
C&A Café E Almoço,ChIJjbffWgRGzpQRf2F0o_XBXwM,11,"4,1",12,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipMAdQspCfZBBzE06dWMeFkRpsE4zUvjItgcrBYH=w163-h92-k-no
Lanchonete Anchieta,ChIJHwiD1VBYzpQRl1Hj2kZBJu0,6,"4,3",1068,1,bar,https://lh5.googleusercontent.com/p/AF1QipOnm83DaGNwDZjgBxrPlzQHiaC37DvHK3iOdA88=w122-h92-k-no
Restaurante Famiglia Di Nóca,ChIJ7Ye24uRXzpQRU9LExQl_5GM,15,"4,6",524,1,restaurant,https://lh5.googleusercontent.com/p/AF1QipNyFD5Bif5t46wNrMHFW6Fa06VcRcJEC9LM9vQE=w82-h92-k-no
Restaurante São Rafael,ChIJ2Tf8UrEdzpQRPHW2oHflQSU,2,"4,5",1078,1,buffet restaurant,https://lh5.googleusercontent.com/p/AF1QipOwcXRd6M5MKivYzQAIGZCVmM5uZHUcUC855k3M=w143-h92-k-no
Petí Gastronomia,ChIJJbZy-eJXzpQRTboswSgLJX0,15,"4,6",617,1,restaurant,https://lh5.googleusercontent.com/p/AF1QipNYRSCzqjnJaFzUI5J-FTf9YcIkdOOOfW_I7AXL=w194-h92-k-no
Restaurante Bom D+,ChIJ0xa4iOABzpQRcVhyBrab-E8,7,"4,4",81,5,brazilian restaurant,https://lh5.googleusercontent.com/p/AF1QipPS1lbDHj6M6xcdl-RF-rxuNMGVU9iBNHbTNLQP=w163-h92-k-no
Restaurante Tia Tande,ChIJY5jcW75YzpQRnb6aE8ef-9w,14,"4,4",114,0,brazilian restaurant,https://lh5.googleusercontent.com/p/AF1QipPcwNvPZZOBzzXKGpMwp3HsN8oWu6m1CicIBIGH=w122-h92-k-no
Bom Gosto Restaurante (Paulista),ChIJYXmo1MdZzpQRLxnXxWeaLiI,12,"4,4",218,5,buffet restaurant,https://lh5.googleusercontent.com/p/AF1QipMVi65MoPOclCRigThLnmWch3jK4htiBaBpFBBE=w122-h92-k-no
Restaurante Bom Petisco,ChIJfcuJXcqJzJQRZwO96jHpdhk,7,"4,2",630,1,brazilian restaurant,https://lh5.googleusercontent.com/p/AF1QipOcEsHy3tjHPXTKCHGC6Xr9aZq8H_XmuPqSQJsC=w122-h92-k-no
Restaurante Sr. dos Pratos,ChIJaW0BBQBRzpQRyvVRhbngUtk,7,"4,3",169,0,brazilian restaurant,https://lh5.googleusercontent.com/p/AF1QipNbsYJsPRz0tZLP4yGUuXcXRe38gFCLSAGXcpT0=w80-h142-k-no
Cacerola,ChIJ5XwKfcmJzJQRRlsb_-K8VQ0,11,"4,5",1294,1,restaurant,https://lh5.googleusercontent.com/p/AF1QipOB2x6osMS1NaivUSHMwmp_fJwoLMulARILqh36=w122-h92-k-no
Restaurante Saída 26,ChIJk75Rn88Dz5QRUmmqbXtg4Ug,4,"4,4",311,1,restaurant,https://lh5.googleusercontent.com/p/AF1QipPSb3RLTfndV5ek62K4_pMspvDq6HI1Y9puAzAK=w80-h106-k-no
Restaurante Puro Sabor de Ipanema,ChIJOWpmNwXVmwARAerbOcgrZLE,5,"4,4",77,0,brazilian restaurant,https://lh5.googleusercontent.com/p/AF1QipO3XXrKDe0RpGcpltyyTeEGFTl5YU5SR_U1PxYt=w80-h106-k-no
Fitó,ChIJnQuaS6dXzpQRdJ_Bk-VLcIo,2,"4,5",2476,1,brazilian restaurant,https://lh5.googleusercontent.com/p/AF1QipO6o8TVAA-itCvkBPl-xE0P_EFJ8cuZNU4p4JCF=w80-h106-k-no
Tempero Manero,ChIJzXOTr3F6zpQREonFacwk8sg,14,"4,4",1740,0,buffet restaurant,https://lh5.googleusercontent.com/p/AF1QipM672IO211CsqrAZCu043A5RXgc9_CDrHi-lFYb=w122-h92-k-no
