Estabelecimento_ID,sunday,monday,tuesday,wednesday,thursday,friday,saturday,aberto_dia_util,aberto_final_de_semana
ChIJU008MZNTzpQRpjpsv33pRQs,0,1,1,1,1,1,1,100.0,66.7
ChIJU4W1hWVezpQRb7UZOCXHQNk,0,1,1,1,1,1,1,100.0,66.7
ChIJhbffCo6KxZQREb1Ryt2u80Y,0,1,1,1,1,1,1,100.0,66.7
ChIJzfUSXO74zpQRhxWMHFXJ9-8,0,1,1,1,1,1,0,100.0,33.3
ChIJR5o7uexWzpQR4NL-w4Fybvg,0,1,1,1,1,1,1,100.0,66.7
ChIJBxcVOlP4zpQR4Li58g0VAnA,1,1,1,1,1,1,1,100.0,100.0
ChIJk6kN2SYf35QR-o2NU-feIec,0,1,1,1,1,1,1,100.0,66.7
ChIJTRMTvz_5zpQRpXznyTwMt-g,0,1,1,1,1,1,1,100.0,66.7
ChIJwQsj9dZmzpQR7ImY_hcLpQE,0,1,1,1,1,1,1,100.0,66.7
ChIJFR6HJXVdzpQR3ixkvcwGslg,1,1,1,1,0,1,1,75.0,100.0
ChIJPbtiSutCzpQR4WiIK3qiKLQ,0,1,1,1,1,1,1,100.0,66.7
ChIJpYC5RvtEzpQRRVefGN9er4U,0,1,1,1,1,1,0,100.0,33.3
ChIJB6QJqhdjzpQROmX0U_X9lJE,1,0,1,1,1,1,1,75.0,100.0
ChIJBZG1_cdZzpQR_7_BhnUnt0I,0,1,1,1,1,1,1,100.0,66.7
ChIJN4Ij_CBRzpQRiYKM4302AnA,1,1,1,1,1,1,1,100.0,100.0
ChIJgTqzJ4xbzpQRdA-bOncMYYg,0,1,1,1,1,1,0,100.0,33.3
ChIJMUjhG1ZFzpQRn4MX_kSIyv8,1,1,1,1,1,1,1,100.0,100.0
ChIJ-e59XBj4zpQRMFzTnkJHG_4,0,1,1,1,1,1,1,100.0,66.7
ChIJ0RTqcFFZzpQRcZj_3Fyap0Y,0,1,1,1,1,1,0,100.0,33.3
ChIJX8ws5c1XzpQRjTHVEpKm0w4,0,1,1,1,1,1,1,100.0,66.7
