Estabelecimento_ID,inicio,fim,madrugada,manha,tarde,noite,inicio_periodo,fim_periodo
ChIJU008MZNTzpQRpjpsv33pRQs,8:0,20:0,0,66,100,17,manha,noite
ChIJU4W1hWVezpQRb7UZOCXHQNk,11:30,14:30,0,7,36,0,manha,tarde
ChIJhbffCo6KxZQREb1Ryt2u80Y,11:0,14:30,0,15,36,0,manha,tarde
ChIJzfUSXO74zpQRhxWMHFXJ9-8,11:0,15:0,0,15,43,0,manha,tarde
ChIJR5o7uexWzpQR4NL-w4Fybvg,11:0,22:0,0,15,100,51,manha,noite
ChIJBxcVOlP4zpQR4Li58g0VAnA,,,0,0,0,0,,
ChIJk6kN2SYf35QR-o2NU-feIec,11:0,14:0,0,15,29,0,manha,tarde
ChIJTRMTvz_5zpQRpXznyTwMt-g,10:30,15:20,0,24,48,0,manha,tarde
ChIJwQsj9dZmzpQR7ImY_hcLpQE,,,0,0,0,0,,
ChIJFR6HJXVdzpQR3ixkvcwGslg,9:30,16:0,0,41,58,0,manha,tarde
ChIJPbtiSutCzpQR4WiIK3qiKLQ,11:0,14:30,0,15,36,0,manha,tarde
ChIJpYC5RvtEzpQRRVefGN9er4U,11:30,14:30,0,7,36,0,manha,tarde
ChIJB6QJqhdjzpQROmX0U_X9lJE,13:0,23:30,0,0,86,76,tarde,noite
ChIJBZG1_cdZzpQR_7_BhnUnt0I,11:30,15:0,0,7,43,0,manha,tarde
ChIJN4Ij_CBRzpQRiYKM4302AnA,10:30,15:30,0,24,51,0,manha,tarde
ChIJgTqzJ4xbzpQRdA-bOncMYYg,11:30,15:0,0,7,43,0,manha,tarde
ChIJMUjhG1ZFzpQRn4MX_kSIyv8,6:10,6:10,0,0,0,0,manha,manha
ChIJ-e59XBj4zpQRMFzTnkJHG_4,11:0,14:0,0,15,29,0,manha,tarde
ChIJ0RTqcFFZzpQRcZj_3Fyap0Y,11:30,14:30,0,7,36,0,manha,tarde
ChIJX8ws5c1XzpQRjTHVEpKm0w4,11:0,15:0,0,15,43,0,manha,tarde
ChIJn9lQq7j4zpQR0TGn2VJtbZI,11:30,15:0,0,7,43,0,manha,tarde
ChIJbZwKSCVczpQRZru-QWsVw0w,10:0,20:0,0,32,100,17,manha,noite
ChIJMbprTSD2zpQRrvfjwoKDOug,11:30,23:30,0,7,100,76,manha,noite
ChIJnStRD_9hzpQRdtkReGnmBz8,7:0,14:30,0,83,36,0,manha,tarde
ChIJ-YH8OD-VpgAR90cCB_MtKWw,11:0,15:0,0,15,43,0,manha,tarde
ChIJlU0P1eFXzpQRmBB7JycdaS0,8:0,20:0,0,66,100,17,manha,noite
ChIJYfVR4q5DzpQRjldVrVqANx8,7:0,23:0,0,83,100,68,manha,noite
ChIJI4UI6ErwzpQR2jnYNoniTWI,13:0,18:0,0,0,72,0,tarde,tarde
ChIJFxNU0IZZzpQR49BAjns6ZBU,11:20,15:0,0,10,43,0,manha,tarde
ChIJz0I8YWkfzpQRLNGCHFYeJ0k,10:0,24:0,0,32,100,85,manha,noite
ChIJtQZkg3BWzpQRkq2tRxqTX6M,10:30,15:0,0,24,43,0,manha,tarde
ChIJTUgua3pxVwERdY5FAjUf158,8:0,16:0,0,66,58,0,manha,tarde
ChIJkygLLsHmzpQRqHanmJ8HlfY,11:0,15:0,0,15,43,0,manha,tarde
ChIJq1cGjSxWzpQRqNuO9_rieo4,12:0,15:0,0,0,43,0,tarde,tarde
ChIJi31f_9pZzpQRLuEytX9Uq7o,12:0,15:0,0,0,43,0,tarde,tarde
ChIJc316FAdYzpQRPaRlbHRhKWA,11:0,15:0,0,15,43,0,manha,tarde
ChIJ1T9G27EDzpQRvzc0iNV1YMs,11:0,24:0,0,15,100,85,manha,noite
ChIJVz438PpazpQRtawF8m-OgX4,11:30,14:50,0,7,41,0,manha,tarde
ChIJ_w4v8VRYzpQRgI85TJUcStk,11:0,15:30,0,15,51,0,manha,tarde
ChIJs2-yL2NnzpQRMLioobsX5vo,10:0,23:0,0,32,100,68,manha,noite
ChIJU2L0_CeAmQARO9eDslr1KZY,11:30,23:0,0,7,100,68,manha,noite
ChIJgZKK_Z1QzpQRAyss_2bhefo,8:0,15:0,0,66,43,0,manha,tarde
ChIJEZNDqqVRzpQR9MyfB8-jNuI,,,0,0,0,0,,
ChIJ2RJETEdYzpQRPAQA0rUzgsM,11:0,1:0,0,15,100,85,manha,madrugada
ChIJU85wPq7-zpQRAz13sT3bkXw,11:0,18:0,0,15,87,0,manha,tarde
