Estabelecimento_ID,ZonaSP,Endereço,Latitude,Longitude
ChIJU008MZNTzpQRpjpsv33pRQs,Sul,"Estr. do Campo Limpo, 992 - Vila Prel, São Paulo - SP, 05777-000, Brazil",-23.6479188,-46.7629977
ChIJU4W1hWVezpQRb7UZOCXHQNk,Leste,"Rua Coronel Marques, 399 - Vila Nova Manchester, São Paulo - SP, 03440-005, Brazil",-23.5430909,-46.5455258
ChIJhbffCo6KxZQREb1Ryt2u80Y,Outro,"Av. Prof. Arthur Fonseca, 841 - Jardim Faculdade, Sorocaba - SP, 18031-005, Brazil",-23.515907,-47.463541
ChIJzfUSXO74zpQRhxWMHFXJ9-8,Oeste,"R. Conselheiro Ribas, 330 - Vila Anastácio, São Paulo - SP, 05093-060, Brazil",-23.5147015,-46.7207434
ChIJR5o7uexWzpQR4NL-w4Fybvg,Oeste,"Rua Dr. SÍlvio Dante Bertacchi, 253 - Vila Sonia, São Paulo - SP, 05625-000, Brazil",-23.596165,-46.7299293
ChIJBxcVOlP4zpQR4Li58g0VAnA,Oeste,"Av. Min. Petrônio Portela, 309 - Moinho Velho, São Paulo - SP, 02959-000, Brazil",-23.496101,-46.7027375
ChIJk6kN2SYf35QR-o2NU-feIec,Outro,"R. Dois de Setembro, 2145 - Itoupava Norte, Blumenau - SC, 89052-002, Brazil",-26.8930136,-49.0789599
ChIJTRMTvz_5zpQRpXznyTwMt-g,Oeste,"Rua Félix Guilhem, 1415-1403 - Lapa de Baixo, São Paulo - SP, 02675-031, Brazil",-23.512486,-46.711237
ChIJwQsj9dZmzpQR7ImY_hcLpQE,Leste,"Cidade Antônio Estêvão de Carvalho, São Paulo - SP, 03889-000, Brazil",-23.5370676,-46.4752441
ChIJFR6HJXVdzpQR3ixkvcwGslg,Leste,"Av. Prof. Carini, 50 - Vila Formosa, São Paulo - SP, 03367-020, Brazil",-23.5673633,-46.5356669
ChIJPbtiSutCzpQR4WiIK3qiKLQ,Outro,"R. Alm. Protógenes, 300 - Jardim, Santo André - SP, 09090-760, Brazil",-23.6507548,-46.5356935
ChIJpYC5RvtEzpQRRVefGN9er4U,Outro,"Av. Alda, 250 - Centro, Diadema - SP, 09910-170, Brazil",-23.6890678,-46.626255
ChIJB6QJqhdjzpQROmX0U_X9lJE,Outro,"R. Ângelo Caldini, 201 - bairro pimentas, Guarulhos - SP, 07262-210, Brazil",-23.473293,-46.397604
ChIJBZG1_cdZzpQR_7_BhnUnt0I,Centro,"R. São Carlos do Pinhal, 445 - Bela Vista, São Paulo - SP, 01333-000, Brazil",-23.5639423,-46.6517267
ChIJN4Ij_CBRzpQRiYKM4302AnA,Sul,"R. Catuti, 125 - Vila Andrade, São Paulo - SP, 05729-120, Brazil",-23.6370954,-46.7375664
ChIJgTqzJ4xbzpQRdA-bOncMYYg,Sul,"R. Clemente Pereira, 558 - Ipiranga, São Paulo - SP, 04216-060, Brazil",-23.5981916,-46.5998505
ChIJMUjhG1ZFzpQRn4MX_kSIyv8,Sul,"R. David Eid, 1318 - Vila do Castelo, São Paulo - SP, 04438-000, Brazil",-23.6805972,-46.6701712
ChIJ-e59XBj4zpQRMFzTnkJHG_4,Norte,"R. Isabel de Siqueira Barros, 197a - Limão, São Paulo - SP, 02712-080, Brazil",-23.507678,-46.6783264
ChIJ0RTqcFFZzpQRcZj_3Fyap0Y,Centro,"R. Carlos Sampaio, 331 - 1° Andar - Bela Vista, São Paulo - SP, 01333-021, Brazil",-23.5684814,-46.6466803
ChIJX8ws5c1XzpQRjTHVEpKm0w4,Oeste,"Rua Professor Túlio Ascarelli, 239 - Vila Madalena, São Paulo - SP, 05451-110, Brazil",-23.5444449,-46.704857
ChIJn9lQq7j4zpQR0TGn2VJtbZI,Oeste,"R. Mergenthaler, 41 - Vila Leopoldina, São Paulo - SP, 05311-030, Brazil",-23.525438,-46.73329
ChIJbZwKSCVczpQRZru-QWsVw0w,Leste,"Rua Dr. Gabriel de Resende, 101 - Vila Diva (Zona Leste), São Paulo - SP, 03350-000, Brazil",-23.5713206,-46.5655256
ChIJMbprTSD2zpQRrvfjwoKDOug,Norte,"Av. Gen. Ataliba Leonel, 1531 - Santana, São Paulo - SP, 02068-040, Brazil",-23.5007275,-46.6145002
ChIJnStRD_9hzpQRdtkReGnmBz8,Outro,"R. Caracaru, 773 - Jardim Cumbica, Guarulhos - SP, 07240-110, Brazil",-23.4458026,-46.4410883
ChIJ-YH8OD-VpgAR90cCB_MtKWw,Outro,"R. Joaquim José, 1080 - Fonte Grande, Contagem - MG, 32013-390, Brazil",-19.9242164,-44.0816372
ChIJlU0P1eFXzpQRmBB7JycdaS0,Oeste,"R. Fradique Coutinho, 312 - Pinheiros, São Paulo - SP, 05416-000, Brazil",-23.5637761,-46.6857913
ChIJYfVR4q5DzpQRjldVrVqANx8,Outro,"R. Vicente de Carvalho, 666 / 670 - Anchieta, São Bernardo do Campo - SP, 09732-600, Brazil",-23.6817215,-46.5618801
ChIJI4UI6ErwzpQR2jnYNoniTWI,Outro,"Alameda Bélgica, 325 - Zona Rural, Mairiporã - SP, 07619-128, Brazil",-23.3787327,-46.632779
ChIJFxNU0IZZzpQR49BAjns6ZBU,Sul,"Rua Vergueiro, 2309 - Vila Mariana, São Paulo - SP, 04009-002, Brazil",-23.5820421,-46.6377326
ChIJz0I8YWkfzpQRLNGCHFYeJ0k,Outro,"Av. Pres. Castelo Branco, 6814 - Vila Tupi, Praia Grande - SP, 11703-650, Brazil",-24.0261738,-46.4652682
ChIJtQZkg3BWzpQRkq2tRxqTX6M,Oeste,"R. Frei Inácio da Conceição, 266 - Butantã, São Paulo - SP, 05362-040, Brazil",-23.5714822,-46.7427018
ChIJTUgua3pxVwERdY5FAjUf158,Outro,"Av. São José, 151 - Ayrosa, Osasco - SP, 06283-120, Brazil",-23.5177585,-46.7730938
ChIJkygLLsHmzpQRqHanmJ8HlfY,Outro,"Av. Ulisses Guimarães, 1169 - Jardim Rosas, Francisco Morato - SP, 07980-070, Brazil",-23.29253,-46.7330519
ChIJq1cGjSxWzpQRqNuO9_rieo4,Oeste,"Praça São Marcos, 825 - Alto de Pinheiros, São Paulo - SP, 05455-050, Brazil",-23.5425283,-46.7110187
ChIJi31f_9pZzpQRLuEytX9Uq7o,Oeste,"R. Pres. Prudente, 117 - Jardim Paulista, São Paulo - SP, 01408-030, Brazil",-23.5699702,-46.6633365
ChIJc316FAdYzpQRPaRlbHRhKWA,Oeste,"Av. Marquês de São Vicente, 446 - Várzea da Barra Funda, São Paulo - SP, 01139-000, Brazil",-23.5215749,-46.6641253
ChIJ1T9G27EDzpQRvzc0iNV1YMs,Outro,"Av. Sen. Dantas, 344 - Estuário, Santos - SP, 11015-210, Brazil",-23.9623821,-46.3140422
ChIJVz438PpazpQRtawF8m-OgX4,Sul,"R. Guatapara, 191 - Vila Guarani, São Paulo - SP, 04310-040, Brazil",-23.6341098,-46.6405368
ChIJ_w4v8VRYzpQRgI85TJUcStk,Centro,"conj 11 primeiro andar, Largo do Café, 14 - Centro Histórico de São Paulo, São Paulo - SP, 01012-030, Brazil",-23.5462318,-46.6351014
ChIJs2-yL2NnzpQRMLioobsX5vo,Leste,"R. Ângelo Arloti, 53 - Cidade Líder, São Paulo - SP, 08280-640, Brazil",-23.5598582,-46.4814057
ChIJU2L0_CeAmQARO9eDslr1KZY,Outro,"Praia do Flamengo, 340 - primeiro Andar - Flamengo, Rio de Janeiro - RJ, 22210-065, Brazil",-22.9363915,-43.1744513
