title,place_id,sunday,monday,tuesday,wednesday,thursday,friday,saturday
Sagrado Almoço,ChIJU008MZNTzpQRpjpsv33pRQs,Closed,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm
2 L's Restaurante E Bar Almoço-Lanches,ChIJU4W1hWVezpQRb7UZOCXHQNk,Closed,11:30 am–2:30 pm,11:30 am–2:30 pm,11:30 am–2:30 pm,11:30 am–2:30 pm,11:30 am–2:30 pm,11:30 am–2:30 pm
Brasiliano Restaurante,ChIJhbffCo6KxZQREb1Ryt2u80Y,Closed,11 am–2:30 pm,11 am–2:30 pm,11 am–2:30 pm,11 am–2:30 pm,11 am–2:30 pm,11 am–2:30 pm
Sirva-se Almoço,ChIJzfUSXO74zpQRhxWMHFXJ9-8,Closed,11 am–3 pm,11 am–3 pm,11 am–3 pm,11 am–3 pm,11 am–3 pm,Closed
Speed Almoço,ChIJR5o7uexWzpQR4NL-w4Fybvg,Closed,11 am–10 pm,11 am–10 pm,11 am–10 pm,11 am–10 pm,11 am–10 pm,11 am–10 pm
Pizza Almoço Marmitex,ChIJBxcVOlP4zpQR4Li58g0VAnA,,,,,,,
Galpão Restaurante,ChIJk6kN2SYf35QR-o2NU-feIec,Closed,11 am–2 pm,11 am–2 pm,11 am–2 pm,11 am–2 pm,11 am–2 pm,11 am–2 pm
Almoço | Comida Caseira | Marmitex | Restaurante | × [SABOR FAMÍLIA],ChIJTRMTvz_5zpQRpXznyTwMt-g,Closed,10:30 am–3:20 pm,10:30 am–3:20 pm,10:30 am–3:20 pm,10:30 am–3:20 pm,10:30 am–3:20 pm,10:30 am–2 pm
Casa Do Norte Ceará Marroais Almoço E Marmitex,ChIJwQsj9dZmzpQR7ImY_hcLpQE,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
Restaurante Rango Saboroso - Almoço - Marmitex - Feijoada - Cantinho Italiano - Refeição Deliciosa,ChIJFR6HJXVdzpQR3ixkvcwGslg,10 am–3 pm,9:30 am–4 pm,9:30 am–4 pm,9:30 am–4 pm,Closed,9:30 am–4 pm,9:30 am–4 pm
Chefia Restaurante,ChIJPbtiSutCzpQR4WiIK3qiKLQ,Closed,11 am–2:30 pm,11 am–2:30 pm,11 am–2:30 pm,11 am–2:30 pm,11 am–2:30 pm,11 am–2:30 pm
Maddie Almoço,ChIJpYC5RvtEzpQRRVefGN9er4U,Closed,11:30 am–2:30 pm,11:30 am–2:30 pm,11:30 am–2:30 pm,11:30 am–2:30 pm,11:30 am–2:30 pm,Closed
SIRI CASCUDO LANCHONETE / ALMOÇO,ChIJB6QJqhdjzpQROmX0U_X9lJE,10 am–6 pm,Closed,1–10 pm,1–10 pm,1–10:30 pm,1–11:30 pm,12–11:30 pm
Casinha Mineira,ChIJBZG1_cdZzpQR_7_BhnUnt0I,Closed,11:30 am–3 pm,11:30 am–3 pm,11:30 am–3 pm,11:30 am–3 pm,11:30 am–3 pm,12–4 pm
‍ Almoço Self-Service e marmitex delivery na Vila Andrade - Restaurante Catuti,ChIJN4Ij_CBRzpQRiYKM4302AnA,10:30 am–3:30 pm,10:30 am–3:30 pm,10:30 am–3:30 pm,10:30 am–3:30 pm,10:30 am–3:30 pm,10:30 am–3:30 pm,10:30 am–3:30 pm
O Comilão Restaurante,ChIJgTqzJ4xbzpQRdA-bOncMYYg,Closed,11:30 am–3 pm,11:30 am–3 pm,11:30 am–3 pm,11:30 am–3 pm,11:30 am–3 pm,Closed
R&S Pastelaria E Lanchonete Servimos Almoço,ChIJMUjhG1ZFzpQRn4MX_kSIyv8,12–2:30 pm,12–1:30 pm,6:01 am–12 am,Open 24 hours,6:01 am–12 am,Open 24 hours,6:01 am–6:01 am
Restaurante,ChIJ-e59XBj4zpQRMFzTnkJHG_4,Closed,11 am–2 pm,11 am–2 pm,11 am–2 pm,11 am–2 pm,11 am–2 pm,11 am–2 pm
"Espaço Da Marmita (Não fornecemos almoço, somente esquentamos marmitas)",ChIJ0RTqcFFZzpQRcZj_3Fyap0Y,Closed,11:30 am–2:30 pm,11:30 am–2:30 pm,11:30 am–2:30 pm,11:30 am–2:30 pm,11:30 am–2:30 pm,Closed
Sala de Almoço,ChIJX8ws5c1XzpQRjTHVEpKm0w4,Closed,11 am–3 pm,11 am–3 pm,11 am–3 pm,11 am–3 pm,11 am–3 pm,11 am–3 pm
Restaurante Jardim Leopoldina,ChIJn9lQq7j4zpQR0TGn2VJtbZI,Closed,11:30 AM–3 PM,11:30 AM–3 PM,11:30 AM–3 PM,11:30 AM–3 PM,11:30 AM–3 PM,11:30 AM–3 PM
Restaurante Casa do Almoço,ChIJbZwKSCVczpQRZru-QWsVw0w,10 AM–4 PM,10 AM–8 PM,10 AM–8 PM,10 AM–8 PM,10 AM–8 PM,10 AM–8 PM,10 AM–8 PM
"Restaurante Villa Nostra, Almoço por Quilo e Pizzaria.",ChIJMbprTSD2zpQRrvfjwoKDOug,11:30 AM–11:30 PM,11:30 AM–4 PM,11:30 AM–11:30 PM,11:30 AM–11:30 PM,11:30 AM–11:30 PM,11:30 AM–11:30 PM,11:30 AM–11:30 PM
Rlpm Almoço,ChIJnStRD_9hzpQRdtkReGnmBz8,Closed,10 AM–1:30 PM,7 AM–2:30 PM,7 AM–1 PM,7 AM–2:30 PM,7 AM–2:30 PM,10 AM–1:30 PM
Restaurante & Cervejaria Urbano's,ChIJ-YH8OD-VpgAR90cCB_MtKWw,11 AM–4 PM,11 AM–3 PM,11 AM–3 PM,11 AM–3 PM,11 AM–3 PM,11 AM–3 PM,11 AM–4 PM
Ripito,ChIJlU0P1eFXzpQRmBB7JycdaS0,Closed,8 AM–8 PM,8 AM–8 PM,8 AM–8 PM,8 AM–8 PM,8 AM–8 PM,8 AM–8 PM
"Bar e Restaurante do Zé - Almoço, lanches e salgados.",ChIJYfVR4q5DzpQRjldVrVqANx8,8 AM–5 PM,7 AM–11 PM,7 AM–11 PM,7 AM–11 PM,7 AM–11 PM,7 AM–11 PM,7 AM–11 PM
Quinta da Canta,ChIJI4UI6ErwzpQR2jnYNoniTWI,1–6 PM,Closed,Closed,Closed,Closed,Closed,1–6 PM
Villa Dos Sabores,ChIJFxNU0IZZzpQR49BAjns6ZBU,Closed,11:20 AM–3 PM,11:20 AM–3 PM,11:20 AM–3 PM,11:20 AM–3 PM,11:20 AM–3 PM,11:20 AM–3 PM
Restaurante Os Barreto,ChIJz0I8YWkfzpQRLNGCHFYeJ0k,10 AM–12 AM,10 AM–12 AM,Closed,10 AM–12 AM,10 AM–12 AM,10 AM–12 AM,10 AM–12 AM
Dona Ju Restaurante,ChIJtQZkg3BWzpQRkq2tRxqTX6M,Closed,10:30 AM–3 PM,10:30 AM–3 PM,10:30 AM–3 PM,10:30 AM–3 PM,10:30 AM–3 PM,10:30 AM–3 PM
Bam food almoço e Marmitex delivery somente pelo ifood,ChIJTUgua3pxVwERdY5FAjUf158,Closed,8 AM–4 PM,8 AM–4 PM,8 AM–4 PM,8 AM–4 PM,8 AM–4 PM,8 AM–3 PM
