title,place_id,dine_in,takeout,delivery,drive_through
Sagrado Almoço,ChIJU008MZNTzpQRpjpsv33pRQs,True,True,False,False
2 L's Restaurante E Bar Almoço-Lanches,ChIJU4W1hWVezpQRb7UZOCXHQNk,True,True,True,False
Brasiliano Restaurante,ChIJhbffCo6KxZQREb1Ryt2u80Y,True,True,False,False
Sirva-se Almoço,ChIJzfUSXO74zpQRhxWMHFXJ9-8,True,True,True,False
Speed Almoço,ChIJR5o7uexWzpQR4NL-w4Fybvg,True,True,False,False
Pizza Almoço Marmitex,ChIJBxcVOlP4zpQR4Li58g0VAnA,True,True,False,False
Galpão Restaurante,ChIJk6kN2SYf35QR-o2NU-feIec,True,True,False,False
Almoço | Comida Caseira | Marmitex | Restaurante | × [SABOR FAMÍLIA],ChIJTRMTvz_5zpQRpXznyTwMt-g,True,True,False,False
Casa Do Norte Ceará Marroais Almoço E Marmitex,ChIJwQsj9dZmzpQR7ImY_hcLpQE,True,True,False,False
Restaurante Rango Saboroso - Almoço - Marmitex - Feijoada - Cantinho Italiano - Refeição Deliciosa,ChIJFR6HJXVdzpQR3ixkvcwGslg,True,True,False,False
Chefia Restaurante,ChIJPbtiSutCzpQR4WiIK3qiKLQ,True,True,False,False
Maddie Almoço,ChIJpYC5RvtEzpQRRVefGN9er4U,True,True,True,False
SIRI CASCUDO LANCHONETE / ALMOÇO,ChIJB6QJqhdjzpQROmX0U_X9lJE,True,True,False,False
Casinha Mineira,ChIJBZG1_cdZzpQR_7_BhnUnt0I,True,True,False,False
‍ Almoço Self-Service e marmitex delivery na Vila Andrade - Restaurante Catuti,ChIJN4Ij_CBRzpQRiYKM4302AnA,True,True,False,False
O Comilão Restaurante,ChIJgTqzJ4xbzpQRdA-bOncMYYg,True,True,False,False
R&S Pastelaria E Lanchonete Servimos Almoço,ChIJMUjhG1ZFzpQRn4MX_kSIyv8,True,True,True,False
Restaurante,ChIJ-e59XBj4zpQRMFzTnkJHG_4,True,False,True,False
"Espaço Da Marmita (Não fornecemos almoço, somente esquentamos marmitas)",ChIJ0RTqcFFZzpQRcZj_3Fyap0Y,True,False,False,False
Sala de Almoço,ChIJX8ws5c1XzpQRjTHVEpKm0w4,True,True,True,False
Restaurante Jardim Leopoldina,ChIJn9lQq7j4zpQR0TGn2VJtbZI,True,True,False,False
Restaurante Casa do Almoço,ChIJbZwKSCVczpQRZru-QWsVw0w,True,True,False,False
"Restaurante Villa Nostra, Almoço por Quilo e Pizzaria.",ChIJMbprTSD2zpQRrvfjwoKDOug,True,True,False,False
Rlpm Almoço,ChIJnStRD_9hzpQRdtkReGnmBz8,True,False,False,False
Restaurante & Cervejaria Urbano's,ChIJ-YH8OD-VpgAR90cCB_MtKWw,True,True,False,False
Ripito,ChIJlU0P1eFXzpQRmBB7JycdaS0,True,True,False,False
"Bar e Restaurante do Zé - Almoço, lanches e salgados.",ChIJYfVR4q5DzpQRjldVrVqANx8,True,True,False,False
Quinta da Canta,ChIJI4UI6ErwzpQR2jnYNoniTWI,True,False,False,False
