estabelecimento_referencia,position,title,rating,reviews,type,thumbnail,latitude,longitude
Por um Punhado de Dólares,1,YERBA + Por um Punhado de Dólares,4.8,931,"['Coffee shop', 'Bar', 'Book store', 'Pub', 'Record store']",https://lh5.googleusercontent.com/p/AF1QipO7UGORXSDZ8VQQVN8x17CBYI3mDwzuMmqugZrS=w156-h156-n-k-no,-23.534373,-46.652746
Por um Punhado de Dólares,2,Urbe Cafe Bar,4.5,5879,"['Coffee store', 'Bar', 'Brunch', 'Coffee shop']",https://lh5.googleusercontent.com/p/AF1QipOGuRbI7ymy4yNzjm6PfTw-IMRBC_Qu8q675xst=w156-h156-n-k-no,-23.5559756,-46.6583775
Por um Punhado de Dólares,3,KOF - King of The Fork,4.5,1945,"['Coffee store', 'Breakfast', 'Coffee shop']",https://lh5.googleusercontent.com/p/AF1QipMeeBRRpkVRkPPxhUNhp5Tjma9m-_TX5ENe2Yrk=w156-h156-n-k-no,-23.564051600000003,-46.683766899999995
Por um Punhado de Dólares,4,Café Girondino,4.5,6548,"['Cafe', 'Breakfast', 'Cafeteria', 'Cocktail bar', 'Coffee shop', 'Cosplay cafe', 'Diner', 'Pub', 'Restaurant', 'Wine bar']",https://lh5.googleusercontent.com/p/AF1QipO9pysE9lNgSaF6eps5O1SlvR-_e2g16fgPtGPj=w156-h156-n-k-no,-23.5446825,-46.634227599999996
Por um Punhado de Dólares,5,Barões do Cafe,4.1,122,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipMT6j9TVZgUgodqrK2J-CE8Kc2nikxW2PKoCpPj=w156-h156-n-k-no,-23.5571798,-46.6630463
Café Girondino,1,Café Bom Gosto,4.5,667,"['Cafe', 'Breakfast']",https://lh5.googleusercontent.com/p/AF1QipOdHHPPGctubJt5imNJfBi5Vyh3BlsA8ponbW0R=w156-h156-n-k-no,-23.544959499999997,-46.6339076
Café Girondino,2,Café do Farol - Mag Café,3.9,544,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipO-vgE3sznqsiwIhzlz8kwfJbpXTV4kTKaycX5h=w156-h156-n-k-no,-23.5457178,-46.634007
Café Girondino,3,Beneto Restaurante e Lanchonete,4.2,49,['Snack bar'],https://lh5.googleusercontent.com/p/AF1QipONFtPi-iBdvlkaOudlddbTPl2oqJi697VU_R1F=w156-h156-n-k-no,-23.5449365,-46.6339944
Café Girondino,4,Restaurante Bom Gosto,4.5,961,"['Restaurant', 'Brazilian', 'Snack bar']",https://lh5.googleusercontent.com/p/AF1QipPGP2RJ0atHd_76BdxvHDogr4tOQWC3BKCq_m1n=w156-h156-n-k-no,-23.5447211,-46.6344326
KOF - King of The Fork,1,Sofá Café Pinheiros,4.5,1651,"['Cafe', 'Coffee shop']",https://lh5.googleusercontent.com/p/AF1QipOpgTRDrydMrokDIaefe3sAwQtWccnzi04ld613=w156-h156-n-k-no,-23.569612199999998,-46.6906617
KOF - King of The Fork,2,Cupping Café,4.7,535,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipORNSvMiVzQTorks3-8LN8BQEu96Xxn9uOTGWeq=w156-h156-n-k-no,-23.5549482,-46.688821399999995
KOF - King of The Fork,3,HM Food Café,4.6,855,"['Coffee shop', 'Brunch']",https://lh5.googleusercontent.com/p/AF1QipN_zUTzlF12kJyFWt-IxXzd-AnkvhOQBDvkZsJv=w156-h156-n-k-no,-23.559129499999997,-46.6796395
KOF - King of The Fork,4,Duckbill Cookies & Coffee - Pinheiros,4.7,135,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipPmshBUYD9WfszbJaOkx-74XVn4INhOOjVY8M1e=w156-h156-n-k-no,-23.5611838,-46.67865640000001
KOF - King of The Fork,5,Coffee Selfie,4.6,1230,"['Coffee shop', 'Cafe']",https://lh5.googleusercontent.com/p/AF1QipP2kuplbCp0y4V1n-tse-2213uBMpXZuuItsi_y=w156-h156-n-k-no,-23.5576543,-46.635328
Cupping Café,1,Le Pain Quotidien,4.3,2916,"['Bakery', 'Cafe', 'Diner', 'Restaurant']",https://lh5.googleusercontent.com/p/AF1QipMNTNk_aT5fqinu4IKjWg4ktzGEOBLc7pkKRScZ=w156-h156-n-k-no,-23.5546254,-46.6887597
Cupping Café,2,KOF - King of The Fork,4.5,1945,"['Coffee store', 'Breakfast', 'Coffee shop']",https://lh5.googleusercontent.com/p/AF1QipMeeBRRpkVRkPPxhUNhp5Tjma9m-_TX5ENe2Yrk=w156-h156-n-k-no,-23.564051600000003,-46.683766899999995
Cupping Café,3,Coffee Lab,4.6,4431,"['Cafe', 'Cafeteria']",https://lh5.googleusercontent.com/p/AF1QipOBJvrTn1iKjnMu2LI667ympKvMFqc-eZw7eCUE=w156-h156-n-k-no,-23.555978,-46.6913213
Cupping Café,4,Por um Punhado de Dólares,4.6,3721,"['Coffee shop', 'Bar', 'Coffee store', 'Pub', 'Tea store']",https://lh5.googleusercontent.com/p/AF1QipMLNuGIoF_3b4cGpuMiiXdxoCDz4hLJ5XMThyeb=w156-h156-n-k-no,-23.548580899999997,-46.645293699999996
Cupping Café,5,Sofá Café Pinheiros,4.5,1651,"['Cafe', 'Coffee shop']",https://lh5.googleusercontent.com/p/AF1QipOpgTRDrydMrokDIaefe3sAwQtWccnzi04ld613=w156-h156-n-k-no,-23.569612199999998,-46.6906617
Urbe Cafe Bar,1,Soul Café SP,4.8,570,"['Coffee shop', 'Coffee store']",https://lh5.googleusercontent.com/p/AF1QipOWJEDnQ4g9Mo1VUu-gC_PgxhoLXxZ63dLjB3u3=w156-h156-n-k-no,-23.556791,-46.658967
Urbe Cafe Bar,2,Café Habitual,4.5,609,['Cafe'],https://lh5.googleusercontent.com/p/AF1QipNo1bZrmlijcsCa2PkXQlp7cxRzihpCuZsffXe-=w156-h156-n-k-no,-23.55973,-46.6681988
Urbe Cafe Bar,3,Café 10,5.0,1,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipPV7bSNePIdnrISaKMnp-xvdDQL5yKF9pClks1W=w156-h156-n-k-no,-23.554880999999998,-46.662374
Urbe Cafe Bar,4,Bicafé Brasil Ltda,3.2,30,['Cafe'],https://lh5.googleusercontent.com/p/AF1QipMjwzLsWCJSjK7VkYaF0aPsXX2OsYUPYdtkx0ZR=w277-h156-k-no,-23.5584961,-46.659228500000005
Urbe Cafe Bar,5,The Coffee,4.7,85,"['Coffee shop', 'Coffee store']",https://lh5.googleusercontent.com/p/AF1QipOS6Ymk5kYbQz_HGiFEvYSXIcU4veJhC_3eIgxh=w156-h156-n-k-no,-23.554799499999998,-46.6550752
Coffee Lab,1,Santo Grão - Vila Madalena,4.5,489,"['Coffee shop', 'Bistro', 'Brunch', 'Cocktail bar', 'Espresso bar', 'Restaurant']",https://lh5.googleusercontent.com/p/AF1QipMQerOfK1_PsZeedDqzkhNY0PBt6MpeWqPDKLm2=w156-h156-n-k-no,-23.5594076,-46.6895435
Coffee Lab,2,"the little coffee shop . CAFÉ ESPECIAL & CURSOS . Delivery/retiradas agendadas, e workshop online p/ quem quer empreender.",4.7,253,"['Coffee shop', 'School']",https://lh5.googleusercontent.com/p/AF1QipO7f_8bd2dCrVeD2Wb3DrABaA4KkOVZrRzMJ_T6=w156-h156-n-k-no,-23.5609884,-46.678798699999994
Coffee Lab,3,Coffee Walk,4.7,103,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipOnqvGvvhnbV81A17xlmR3_r0ZpMMRX3tHnRJAE=w156-h156-n-k-no,-23.5650734,-46.6852498
Coffee Lab,4,The Coffee,4.7,59,"['Coffee shop', 'Coffee store']",https://lh5.googleusercontent.com/p/AF1QipPLRImu-v90LFw0Ov50JGobZv6Qq3DXHt02VLwS=w156-h156-n-k-no,-23.5563529,-46.687075199999995
Barões do Cafe,1,Soul Café SP,4.8,570,"['Coffee shop', 'Coffee store']",https://lh5.googleusercontent.com/p/AF1QipOWJEDnQ4g9Mo1VUu-gC_PgxhoLXxZ63dLjB3u3=w156-h156-n-k-no,-23.556791,-46.658967
Barões do Cafe,2,Balaio Café,5.0,1,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipP_IRk-LfAQ8Vye34cLB5e2YBhh81iHtRmS9w1D=w156-h156-n-k-no,-23.5561346,-46.6617633
Barões do Cafe,3,Café 10,5.0,1,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipPV7bSNePIdnrISaKMnp-xvdDQL5yKF9pClks1W=w156-h156-n-k-no,-23.554880999999998,-46.662374
Barões do Cafe,4,Baobá Café Paulista,4.5,183,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipPqbFfwkIjpqjqcV7EhviYm1fMd7IOl5sNzB5Do=w156-h156-n-k-no,-23.5666667,-46.650833299999995
Barões do Cafe,5,Starbucks,4.5,6339,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipNf7IV4iazqLqx8Gs3M5ekoeUcbHz-Ha5lVEFI2=w156-h156-n-k-no,-23.557864799999997,-46.661930399999996
Café Sol,1,Coffee Selfie,4.6,1230,"['Coffee shop', 'Cafe']",https://lh5.googleusercontent.com/p/AF1QipP2kuplbCp0y4V1n-tse-2213uBMpXZuuItsi_y=w156-h156-n-k-no,-23.5576543,-46.635328
Café Sol,2,Hachi Crepe & Café,4.7,3204,"['Crêperie', 'Coffee shop', 'Japanese', 'Snack bar']",https://lh5.googleusercontent.com/p/AF1QipOSPI3Zhp4Za7epDrFpCf20503CvNZcAR3GiQaS=w156-h156-n-k-no,-23.5608333,-46.635
Café Sol,3,Chest of Wonders - Maid café,4.8,228,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipMxWoHlXES4k3RIrucqU1QUlUvA1uREfnwCojqs=w156-h156-n-k-no,-23.5607831,-46.6349376
Café Sol,4,Yummy Ice,4.5,578,"['Cafe', 'Bubble Tea']",https://lh5.googleusercontent.com/p/AF1QipO6gEHhIOWMo66qgaxjSvU7yfzMcJ6AC4paVigl=w156-h156-n-k-no,-23.5593309,-46.6353191
Café Sol,5,89ºC Coffee Station,4.6,6031,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipMbbynsKxKV6YcBuyvucPo9gEVlyIv5gqmqyp5w=w156-h156-n-k-no,-23.5554538,-46.6351922
Um Coffee Co.,1,Café Madri,4.8,28,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipMw7pDMYhx0eJgTwbe1V4H7CwQiN1KtyZLoTxpo=w156-h156-n-k-no,-23.53116,-46.637963
Um Coffee Co.,2,Café Colombiano,4.6,561,"['Coffee shop', 'Colombian']",https://lh5.googleusercontent.com/p/AF1QipO44-rPtSPjoIfahKCNUMo56IyNpAeanHfcgAAN=w156-h156-n-k-no,-23.5294444,-46.637777799999995
Um Coffee Co.,3,Cupping Café,4.7,535,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipORNSvMiVzQTorks3-8LN8BQEu96Xxn9uOTGWeq=w156-h156-n-k-no,-23.5549482,-46.688821399999995
Um Coffee Co.,4,Por um Punhado de Dólares,4.6,3721,"['Coffee shop', 'Bar', 'Coffee store', 'Pub', 'Tea store']",https://lh5.googleusercontent.com/p/AF1QipMLNuGIoF_3b4cGpuMiiXdxoCDz4hLJ5XMThyeb=w156-h156-n-k-no,-23.548580899999997,-46.645293699999996
Um Coffee Co.,5,Béni Coffee House,4.5,430,"['Cafe', 'Coffee shop']",https://lh5.googleusercontent.com/p/AF1QipOB9Do7xT5YdBRFwDaNOMI7hSNzJ6P6Dfsu_JYZ=w156-h156-n-k-no,-23.5294821,-46.638381599999995
Café das Coisinhas,1,Clemente Café,4.7,688,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipP6NSkwvzSSVI09CjyUOBKU4t26plzxXN59gN-2=w156-h156-n-k-no,-23.5962165,-46.6397267
Café das Coisinhas,2,Café com Quintal,4.3,281,"['Coffee store', 'Event venue', 'Restaurant']",https://lh5.googleusercontent.com/p/AF1QipM1HL--RG_aKbCxdhs56vWPajQ7KarYOVd9hbL_=w156-h156-n-k-no,-23.5784061,-46.642235199999995
Café das Coisinhas,3,Quinto Pecado Café & Bistrot,4.5,378,"['Bistro', 'Coffee shop']",https://lh5.googleusercontent.com/p/AF1QipM9CwwWOU9tuRBMdbmBTykrgRKFeDhE7HubffFh=w156-h156-n-k-no,-23.5865601,-46.6455813
Café das Coisinhas,4,Coffee Land Cafeteria e Restaurante,4.3,76,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipO9JsgsOqyobljSteerlIDSB89jQA4VbOzd888=w156-h156-n-k-no,-23.5969352,-46.6466782
Café das Coisinhas,5,Domênica Cafeteria,4.5,772,"['Coffee shop', 'Breakfast', 'Cafe']",https://lh5.googleusercontent.com/p/AF1QipMaLaYwwzU051lyl4uPnMSA-2f1HJXZVGg0ZQzP=w156-h156-n-k-no,-23.5809453,-46.6380325
Freak Café,1,"Fran""s Café",4.3,1206,"['Cafe', 'Breakfast', 'Coffee shop']",https://lh5.googleusercontent.com/p/AF1QipPPn-q1BV1zpGL_MNzY0oQTGqU9d_GWgpfrCrdU=w156-h156-n-k-no,-23.6052257,-46.661534599999996
Freak Café,2,The Coffee,4.7,45,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipOCXriQ4MiqoksHizxANyPqphxq7JIF-TtZMo9x=w156-h156-n-k-no,-23.6051676,-46.6701744
Freak Café,3,"Café Club 80 - Café, bar e restaurante pet friendly | Moema São Paulo",3.8,31,"['Dog cafe', 'Pub', 'Restaurant']",https://lh5.googleusercontent.com/p/AF1QipOOFevuuLvRKZqq18cp2WQKUkiwuaXp7gdZ6cCV=w156-h156-n-k-no,-23.6059068,-46.6606108
Freak Café,4,Kofi & Co - Café e Brunch,4.6,727,"['Brunch', 'Cafe', 'Restaurant']",https://lh5.googleusercontent.com/p/AF1QipMBNNyv4ww5yafu5F2xLrsAG9f8oWgrxEXFSS6n=w156-h156-n-k-no,-23.6312614,-46.7053249
Freak Café,5,Cupping Café,4.7,535,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipORNSvMiVzQTorks3-8LN8BQEu96Xxn9uOTGWeq=w156-h156-n-k-no,-23.5549482,-46.688821399999995
Café do Farol - Mag Café,1,Café Girondino,4.5,6548,"['Cafe', 'Breakfast', 'Cafeteria', 'Cocktail bar', 'Coffee shop', 'Cosplay cafe', 'Diner', 'Pub', 'Restaurant', 'Wine bar']",https://lh5.googleusercontent.com/p/AF1QipO9pysE9lNgSaF6eps5O1SlvR-_e2g16fgPtGPj=w156-h156-n-k-no,-23.5446825,-46.634227599999996
Café do Farol - Mag Café,2,Mag Café,4.6,16,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipO4iRDvPQG5WUfR9bvVjTZteoAgfHrLiKhtXdUm=w156-h156-n-k-no,-23.545799199999998,-46.634043
Café do Farol - Mag Café,3,Café Martinelli Midi,4.5,439,"['Coffee store', 'Bistro', 'Breakfast', 'Coffee shop', 'Restaurant']",https://lh5.googleusercontent.com/p/AF1QipPh3DW8Yn3qjLkjZAVSxj2wyDm3Yf-lOV-mRQWn=w156-h156-n-k-no,-23.5453081,-46.635432599999994
Café do Farol - Mag Café,4,Caffè Latte,4.5,812,"['Cafe', 'Coffee shop']",https://lh5.googleusercontent.com/p/AF1QipPPR0dPNSrWteqir1JnDK3WjGvYA4WoTquwz-DR=w156-h156-n-k-no,-23.5463556,-46.634951199999996
Café do Farol - Mag Café,5,Boteco do 28,4.4,123,['Bar'],https://lh5.googleusercontent.com/p/AF1QipOOeNbns2qb0iEOVj6hCChIXLgA4pZNwZQJNzgO=w156-h156-n-k-no,-23.545799199999998,-46.634043
Café Habitual,1,Café Habitual Pinheiros,4.3,93,['Restaurant'],https://lh5.googleusercontent.com/p/AF1QipMfy4pXJ2S3GJSsLUZgByIO2ekXzmeH8UVGZvYX=w156-h156-n-k-no,-23.5594102,-46.683617299999995
Café Habitual,2,Botanikafé,4.5,2057,"['Restaurant', 'Breakfast', 'Brunch', 'Coffee store']",https://lh5.googleusercontent.com/p/AF1QipNw1ao1UwRB62vkccz_X-Zv2dkNw5GxYBgy3_nf=w156-h156-n-k-no,-23.562549699999998,-46.667774099999995
Café Habitual,3,Chefs Especiais Café,4.9,36,['Cafe'],https://lh5.googleusercontent.com/p/AF1QipNe5R10-OS7tFTwF62M7092VnltJvO-55I6G4Gr=w156-h156-n-k-no,-23.563540099999997,-46.6644371
Café Habitual,4,café zinn,4.3,545,"['Coffee shop', 'Breakfast', 'Brunch', 'Cafe', 'Coworking space', 'Diner', 'Restaurant']",https://lh5.googleusercontent.com/p/AF1QipMMmQNTeGNvIq46UkJh5V8Xo7QEfCQVkFPw0ghi=w156-h156-n-k-no,-23.564198899999997,-46.6684688
Café Habitual,5,Urbe Cafe Bar,4.5,5879,"['Coffee store', 'Bar', 'Brunch', 'Coffee shop']",https://lh5.googleusercontent.com/p/AF1QipOGuRbI7ymy4yNzjm6PfTw-IMRBC_Qu8q675xst=w156-h156-n-k-no,-23.5559756,-46.6583775
Coffee Selfie,1,Café Sol,4.5,2780,"['Restaurant', 'Coffee shop', 'Diner', 'Ice Cream']",https://lh5.googleusercontent.com/p/AF1QipNZTZ24fVTKql9lGYH2sdwbNk5a4rwpOEFShQOt=w156-h156-n-k-no,-23.5556198,-46.635106199999996
Coffee Selfie,2,89ºC Coffee Station,4.6,6031,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipMbbynsKxKV6YcBuyvucPo9gEVlyIv5gqmqyp5w=w156-h156-n-k-no,-23.5554538,-46.6351922
Coffee Selfie,3,Chest of Wonders - Maid café,4.8,228,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipMxWoHlXES4k3RIrucqU1QUlUvA1uREfnwCojqs=w156-h156-n-k-no,-23.5607831,-46.6349376
Coffee Selfie,4,We Coffee,4.2,4026,"['Pastries', 'Candy store', 'Coffee shop']",https://lh5.googleusercontent.com/p/AF1QipPmm__BNihBeJZfkJJ2Fwut8oo6J6dlFa6r9mQ=w156-h156-n-k-no,-23.5556123,-46.6349849
Coffee Selfie,5,Yummy Ice,4.5,578,"['Cafe', 'Bubble Tea']",https://lh5.googleusercontent.com/p/AF1QipO6gEHhIOWMo66qgaxjSvU7yfzMcJ6AC4paVigl=w156-h156-n-k-no,-23.5593309,-46.6353191
Sofá Café Pinheiros,1,The Coffee,4.7,421,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipPPpqf81nRJxsm2KUJ0UcbI3-UYh595NCBZ2FzJ=w156-h156-n-k-no,-23.565372399999998,-46.6828327
Sofá Café Pinheiros,2,KOF - King of The Fork,4.5,1945,"['Coffee store', 'Breakfast', 'Coffee shop']",https://lh5.googleusercontent.com/p/AF1QipMeeBRRpkVRkPPxhUNhp5Tjma9m-_TX5ENe2Yrk=w156-h156-n-k-no,-23.564051600000003,-46.683766899999995
Sofá Café Pinheiros,3,Um Coffee Co.,4.4,602,"['Cafeteria', 'Coffee shop']",https://lh5.googleusercontent.com/p/AF1QipMMtKarIVLwZwuZ4SQG_pKLqmq-roW1r1GVzZK0=w156-h156-n-k-no,-23.568773600000004,-46.698884
Sofá Café Pinheiros,4,Bar Café Pinheiros,4.5,18,"['Cafe', 'Bar']",https://lh5.googleusercontent.com/p/AF1QipM9k13JsOreadtLu-68mqhoSdAQ1seIyA-4m521=w156-h156-n-k-no,-23.556883499999998,-46.6761797
Starbucks,1,Starbucks,4.5,5906,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipPjNTzl3RVxcv7So4p0NaxPSKonf5tlEN--O6cY=w156-h156-n-k-no,-23.5623595,-46.6557082
Starbucks,2,Office Paulista Starbucks,3.2,6,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipNnghzycgZKJNiFPg2tzIwThW43wLIrhlh8O7Ah=w156-h156-n-k-no,-23.564068799999998,-46.652707299999996
Starbucks,3,Sterna Café,4.3,88,"['Coffee shop', 'Cafe']",https://lh5.googleusercontent.com/p/AF1QipOFmys3Dp3Jb2hmnZrS-rjSRMUNHYT0bz4ExNq3=w156-h156-n-k-no,-23.5628133,-46.653711
Starbucks,4,Ballaró Café,4.3,92,"['Cafe', 'Coffee shop']",https://lh5.googleusercontent.com/p/AF1QipPsGhqvnQ9vPBkkJ32-eDIbkCait0inif8Femif=w156-h156-n-k-no,-23.5672222,-46.6513889
Starbucks,5,Baobá Café Paulista,4.5,183,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipPqbFfwkIjpqjqcV7EhviYm1fMd7IOl5sNzB5Do=w156-h156-n-k-no,-23.5666667,-46.650833299999995
89ºC Coffee Station,1,We Coffee,4.2,4026,"['Pastries', 'Sweet shop', 'Coffee shop']",https://lh5.googleusercontent.com/p/AF1QipPmm__BNihBeJZfkJJ2Fwut8oo6J6dlFa6r9mQ=w156-h156-n-k-no,-23.5556123,-46.6349849
89ºC Coffee Station,2,Coffee Selfie,4.6,1230,"['Coffee shop', 'Cafe']",https://lh5.googleusercontent.com/p/AF1QipP2kuplbCp0y4V1n-tse-2213uBMpXZuuItsi_y=w156-h156-n-k-no,-23.5576543,-46.635328
89ºC Coffee Station,3,89°Coffee Station,4.5,20,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipOWb7FSsNznBR5fZ-ykD76MpoKA71AZwJEx5Pik=w156-h156-n-k-no,-23.5554128,-46.635179099999995
89ºC Coffee Station,4,Café Sol,4.5,2780,"['Restaurant', 'Coffee shop', 'Diner', 'Ice cream']",https://lh5.googleusercontent.com/p/AF1QipNZTZ24fVTKql9lGYH2sdwbNk5a4rwpOEFShQOt=w156-h156-n-k-no,-23.5556198,-46.635106199999996
89ºC Coffee Station,5,Hi Tea,4.2,235,['Tea room'],https://lh5.googleusercontent.com/p/AF1QipNcG9PFi9nWfTFeupkGdUtmkMKhw4v6cFAwmeOx=w156-h156-n-k-no,-23.554405799999998,-46.635767
LONDON COFFEE STATION,1,Domênica Cafeteria,4.5,772,"['Coffee shop', 'Breakfast', 'Cafe']",https://lh5.googleusercontent.com/p/AF1QipMaLaYwwzU051lyl4uPnMSA-2f1HJXZVGg0ZQzP=w156-h156-n-k-no,-23.5809453,-46.6380325
LONDON COFFEE STATION,2,Astronauta Café,4.5,820,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipMh2XlmVrW3VkWsiSOWb4D6pUyhwZxVmEFQV9FU=w156-h156-n-k-no,-23.585914499999998,-46.643688499999996
LONDON COFFEE STATION,3,The Coffee,4.8,30,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipOdpHrt_nwGo5KRNbSX52dKaQWXxYyx2eBTUtis=w156-h156-n-k-no,-23.588703100000004,-46.6398553
LONDON COFFEE STATION,4,89ºC Coffee Station,4.6,6031,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipMbbynsKxKV6YcBuyvucPo9gEVlyIv5gqmqyp5w=w156-h156-n-k-no,-23.5554538,-46.6351922
LONDON COFFEE STATION,5,Café das Coisinhas,4.6,2010,"['Coffee shop', 'Novelty store']",https://lh5.googleusercontent.com/p/AF1QipNEFFYTKp72WSct7g3neoQsSGIuO6Nz9TUkHB-p=w156-h156-n-k-no,-23.5947696,-46.641932999999995
"the little coffee shop . CAFÉ ESPECIAL & CURSOS . Delivery/retiradas agendadas, e workshop online p/ quem quer empreender.",1,Coffee Lab,4.6,4431,"['Cafe', 'Cafeteria']",https://lh5.googleusercontent.com/p/AF1QipOBJvrTn1iKjnMu2LI667ympKvMFqc-eZw7eCUE=w156-h156-n-k-no,-23.555978,-46.6913213
"the little coffee shop . CAFÉ ESPECIAL & CURSOS . Delivery/retiradas agendadas, e workshop online p/ quem quer empreender.",2,The Coffee,4.7,421,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipPPpqf81nRJxsm2KUJ0UcbI3-UYh595NCBZ2FzJ=w156-h156-n-k-no,-23.565372399999998,-46.6828327
"the little coffee shop . CAFÉ ESPECIAL & CURSOS . Delivery/retiradas agendadas, e workshop online p/ quem quer empreender.",3,Naked Coffee,4.5,68,"['Coffee shop', 'Breakfast', 'Candy store', 'Coffee roasters', 'Coffee store']",https://lh5.googleusercontent.com/p/AF1QipMbV09kkEOR2Hr5g2cvJDiHjUm_oH4ge4T-esWU=w156-h156-n-k-no,-23.5651858,-46.682150199999995
"the little coffee shop . CAFÉ ESPECIAL & CURSOS . Delivery/retiradas agendadas, e workshop online p/ quem quer empreender.",4,KOF - King of The Fork,4.5,1945,"['Coffee store', 'Breakfast', 'Coffee shop']",https://lh5.googleusercontent.com/p/AF1QipMeeBRRpkVRkPPxhUNhp5Tjma9m-_TX5ENe2Yrk=w156-h156-n-k-no,-23.564051600000003,-46.683766899999995
"the little coffee shop . CAFÉ ESPECIAL & CURSOS . Delivery/retiradas agendadas, e workshop online p/ quem quer empreender.",5,Cupping Café,4.7,535,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipORNSvMiVzQTorks3-8LN8BQEu96Xxn9uOTGWeq=w156-h156-n-k-no,-23.5549482,-46.688821399999995
YERBA + Por um Punhado de Dólares,1,Por um Punhado de Dólares,4.6,3721,"['Coffee shop', 'Bar', 'Coffee store', 'Pub', 'Tea store']",https://lh5.googleusercontent.com/p/AF1QipMLNuGIoF_3b4cGpuMiiXdxoCDz4hLJ5XMThyeb=w156-h156-n-k-no,-23.548580899999997,-46.645293699999996
YERBA + Por um Punhado de Dólares,2,ZUD Café,4.6,547,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipNQnbDRpUZyFFfMCkZkrhI3eyKV8FhLQhscSLwU=w156-h156-n-k-no,-23.5392869,-46.654099599999995
